Value,Synonyms
AbrahamLincoln,"abe lincoln,  president abe lincoln,  president abraham lincoln,  president lincoln, abraham lincoln"
AndrewJackson,"president andrew jackson,  president jackson, andrew jackson"
AndrewJohnson,"president andrew johnson,  andrew johnson"
BarackObama,"president barack obama,  president obama, barack obama"
BenjaminHarrison,"president benjamin harrison,  benjamin harrison"
BillClinton,"president bill clinton,  president clinton, bill clinton"
CalvinCoolidge,"president calvin coolidge,  president coolidge, calvin coolidge"
ChesterAArthur,"president arthur,  president chester a arthur, chester a arthur"
DonaldTrump,"president donald trump,  president trump, donald trump, president donald drumpf, president drumpf, donald drumpf, don trump senior, donald trump senior"
DwightEisenhower,"president dwight eisenhower,  president eisenhower, dwight eisenhower"
Fdr,"president fdr, fdr"
FranklinPierce,"president franklin pierce,  president pierce, franklin pierce"
FranklinRoosevelt,"president franklin roosevelt,  franklin roosevelt"
GeorgeBush,"president george bush, george bush"
GeorgeBushSenior,"president george bush senior,  president senior, george bush senior"
GeorgeWBush," president george w bush, george w bush"
GeorgeWashington,"president george washington,  president washington, george washington"
GeraldFord,"president ford,  president gerald ford, gerald ford"
GroverCleveland,"president cleveland,  president grover cleveland, grover cleveland"
HarryTruman,"president harry truman,  president truman, harry truman"
HerbertHoover,"president herbert hoover,  president hoover, herbert hoover"
JamesBuchanan,"president buchanan,  president james buchanan, james buchanan"
JamesGarfield,"president garfield,  president james garfield, james garfield"
JamesMadison,"president james madison,  president madison, james madison"
JamesMonroe,"president james monroe,  president monroe, james monroe"
JamesPolk,"president james polk,  president polk, james polk"
Jfk,"president jfk, jfk"
JimmyCarter,"president carter,  president jimmy carter, jimmy carter"
JohnAdams,"president john adams, john adams"
JohnFKennedy,"president john f kennedy,  president kennedy, john f kennedy"
JohnQuincyAdams,"president john quincy adams, john quincy adams"
JohnTyler,"president john tyler,  president tyler, john tyler"
LyndonJohnson,"president lyndon johnson, lyndon johnson"
MartinVanBuren,"president buren,  president martin van buren, martin van buren"
MillardFillmore,"president fillmore,  president millard fillmore, millard fillmore"
RichardNixon,"president richard nixon,  richard nixon, president nixon"
RonaldReagan,"president ronald reagan,  ronald reagan, president reagan"
RutherfordBHayes,"president rutherford b hayes,  rutherford b hayes, president hayes"
TheodoreRoosevelt,"president theodore roosevelt,  theodore roosevelt, president teddy roosevelt,  teddy roosevelt"
ThomasJefferson,"president thomas jefferson,  thomas jefferson, president jefferson"
UlyssesSGrant,"president ulysses s. grant,  ulysses s. grant, president grant"
WarrenHarding,"president warren harding,  warren harding, president harding"
WilliamHenryHarrison,"president william henry harrison,  william henry harrison"
WilliamMckinley,"president william mckinley,  william mckinley, president mckinley"
WilliamTaft,"president william taft,  william taft, president taft"
WoodrowWilson,"president woodrow wilson,  woodrow wilson, president wilson"
ZacharyTaylor,"president zachary taylor,  zachary taylor, president taylor"
