Value,Synonyms
Amphiuma,"amphiuma, amphiumas"
BarkingFrog,"barking frog, barking frogs"
BlackToad,"black toad, black toads"
BrookSalamander,"brook salamander, brook salamanders"
Bullfrog,"bullfrog, bullfrogs"
Caecilian,"caecilian, caecilians"
ClawedFrog,"clawed frog, clawed frogs"
ClimbingSalamander,"climbing salamander, climbing salamanders"
CommonFrog,"common frog, common frogs"
CrestedNewt,"crested newt, crested newts"
CricketFrog,"cricket frog, cricket frogs"
DiscTonguedFrog,"disc-tongued frog, disc-tongued frogs"
DuskySalamander,"dusky salamander, dusky salamanders"
EasternNewt,"eastern newt, eastern newts"
Ensatina,"ensatina, ensatinas"
EuropeanToad,"european toad, european toads"
FireBellyNewt,"fire-belly newt, fire-belly newts"
FireSalamander,"fire salamander, fire salamanders"
ForkTonguedFrog,"fork-tongued frog, fork-tongued frogs"
Frog,"frog, frogs"
Froglet,"froglet, froglets"
Gerrothorax,"gerrothorax, gerrothoraxes"
GhostFrog,"ghost frog, ghost frogs"
GiantSalamander,"giant salamander, giant salamanders"
GlassFrog,"glass frog, glass frogs"
GoldFrog,"gold frog, gold frogs"
GoliathFrog,"goliath frog, goliath frogs"
GroundFrog,"ground frog, ground frogs"
Hellbender,"hellbender, hellbenders"
HornedFrog,"horned frog, horned frogs"
IndonesianFloatingFrog,"indonesian floating frog, indonesian floating frogs"
JeffersonSalamander,"jefferson salamander, jefferson salamanders"
KnobbyNewt,"knobby newt, knobby newts"
LeopardFrog,"leopard frog, leopard frogs"
LitterFrog,"litter frog, litter frogs"
LongToedSalamander,"long-toed salamander, long-toed salamanders"
MantellaFrog,"mantella frog, mantella frogs"
MexicanTreefrog,"mexican treefrog, mexican treefrogs"
MossFrog,"moss frog, moss frogs"
MudSalamander,"mud salamander, mud salamanders"
Mudpuppy,"mudpuppies, mudpuppy"
NarrowMouthedFrog,"narrow-mouthed frog, narrow-mouthed frogs"
Natterjack,"natterjack, natterjacks"
Newt,"newt, newts"
OrnateHornedFrog,"ornate horned frog, ornate horned frogs"
PaddleTailNewt,"paddle-tail newt, paddle-tail newts"
PaintedFrog,"painted frog, painted frogs"
PoisonArrowFrog,"poison arrow frog, poison arrow frogs"
PoisonDartFrog,"poison dart frog, poison dart frogs"
Pollywog,"pollywog, pollywogs"
RedEft,"red eft, red efts"
RedEyedTreeFrog,"red-eyed tree frog, red-eyed tree frogs"
RedLeggedFrog,"red-legged frog, red-legged frogs"
RedSalamander,"red salamander, red salamanders"
RiceFrog,"rice frog, rice frogs"
SaddlebackToad,"saddleback toad, saddleback toads"
Salamander,"salamander, salamanders"
SedgeFrog,"sedge frog, sedge frogs"
ShovelnoseFrog,"shovelnose frog, shovelnose frogs"
Spadefoot,"spadefoot, spadefoots"
SpottedNewt,"spotted newt, spotted newts"
SpringPeeperFrog,"spring peeper frog, spring peeper frogs"
SpringSalamander,"spring salamander, spring salamanders"
Tadpole,"tadpole, tadpoles"
TailedFrog,"tailed frog, tailed frogs"
Toad,"toad, toads"
TonguelessFrog,"tongueless frog, tongueless frogs"
TorrentSalamander,"torrent salamander, torrent salamanders"
Treefrog,"treefrog, treefrogs"
TrueFrog,"true frog, true frogs"
TrueToad,"true toad, true toads"
VietnameseTreeFrog,"vietnamese tree frog, vietnamese tree frogs"
WartyNewt,"warty newt, warty newts"
WaterFrog,"water frog, water frogs"
Waterdog,"waterdog, waterdogs"
WesternToad,"western toad, western toads"
WoodFrog,"wood frog, wood frogs"
WoodlandsSalamander,"woodlands salamander, woodlands salamanders"
YellowLeggedFrog,"yellow-legged frog, yellow-legged frogs"
