Value,Synonyms
AfricanGrayParrot,"african gray parrot, african gray parrots"
AfricanPenguin,"african penguin, african penguins"
Albatross,"albatross, albatrosses"
AmericanFlamingo,"american flamingo, american flamingos"
AmericanGoldenPlover,"american golden plover, american golden plovers"
AmericanRobin,"american robin, american robins"
AmericanTreeSparrow,"american tree sparrow, american tree sparrows"
ArcticTern,"arctic tern, arctic terns"
Auk,"auk, auks"
Aves,aves
Avian,"avian, avians"
Avifauna,"avifauna, avifaunas"
Avocet,"avocet, avocets"
BaldEagle,"bald eagle, bald eagles"
BarnOwl,"barn owl, barn owls"
Beak,"beak, beaks"
Bird,"bird, birds"
BirdOfParadise,"bird of paradise, birds of paradise"
Bittern,"bittern, bitterns"
BlackSwan,"black swan, black swans"
Blackbird,"blackbird, blackbirds"
BlueJay,"blue jaies, blue jay"
Bluebird,"bluebird, bluebirds"
Bobolink,"bobolink, bobolinks"
Bobwhite,"bobwhite, bobwhites"
Bowerbird,"bowerbird, bowerbirds"
Brood,"brood, broods"
BrownPelican,"brown pelican, brown pelicans"
Budgerigar,"budgerigar, budgerigars"
Budgie,"budgie, budgies"
Bullfinch,"bullfinch, bullfinchs"
Bunting,"bunting, buntings"
CanadaGoose,"canada geese, canada goose"
Canary,"canaries, canary"
Cardinal,"cardinal, cardinals"
Cassowary,"cassowaries, cassowary"
Catbird,"catbird, catbirds"
Chick,"chick, chicks"
Chickadee,"chickadee, chickadees"
Chicken,"chicken, chickens"
Clutch,"clutch, clutchs"
Cockatiel,"cockatiel, cockatiels"
Cockatoo,"cockatoo, cockatoos"
CommonRhea,"common rhea, common rheas"
Coot,"coot, coots"
Cormorant,"cormorant, cormorants"
Cowbird,"cowbird, cowbirds"
Crake,"crake, crakes"
Crane,"crane, cranes"
Creeper,"creeper, creepers"
Crossbill,"crossbill, crossbills"
Crow,"crow, crows"
Cuckoo,"cuckoo, cuckoos"
Curlew,"curlew, curlews"
Darter,"darter, darters"
Dinornis,dinornis
Dove,"dove, doves"
DownyWoodpecker,"downy woodpecker, downy woodpeckers"
Duck,"duck, ducks"
Duckling,"duckling, ducklings"
Eagle,"eagle, eagles"
EasternBluebird,"eastern bluebird, eastern bluebirds"
Egret,"egret, egrets"
Eider,"eider, eiders"
EmperorPenguin,"emperor penguin, emperor penguins"
Emu,"emu, emus"
Falcon,"falcon, falcons"
Finch,"finch, finchs"
Flamingo,"flamingo, flamingos"
Fledge,"fledge, fledges"
Fledgling,"fledgling, fledglings"
Flycatcher,"flycatcher, flycatchers"
Fowl,"fowl, fowls"
Frigatebird,"frigatebird, frigatebirds"
Gander,"gander, ganders"
Gizzard,"gizzard, gizzards"
Gnatcatcher,"gnatcatcher, gnatcatchers"
GoldenEagle,"golden eagle, golden eagles"
Goldfinch,"goldfinch, goldfinchs"
Goose,"geese, goose"
Grackle,"grackle, grackles"
GreatEgret,"great egret, great egrets"
GreatHornedOwl,"great horned owl, great horned owls"
Grebe,"grebe, grebes"
Grosbeak,"grosbeak, grosbeaks"
Grouse,"grouse, grouses"
Gull,"gull, gulls"
Gyrfalcon,"gyrfalcon, gyrfalcons"
HarpyEagle,"harpy eagle, harpy eagles"
HawaiianGoose,"hawaiian geese, hawaiian goose"
Hawk,"hawk, hawks"
Hen,"hen, hens"
Heron,"heron, herons"
Hoatzin,"hoatzin, hoatzins"
Hummingbird,"hummingbird, hummingbirds"
Ibis,"ibis, ibises"
Ichthyornis,"ichthyornis, ichthyornises"
Incubate,"incubate, incubates"
Jackdaw,"jackdaw, jackdaws"
Jay,"jaies, jay"
Junco,"junco, juncos"
Kakapo,"kakapo, kakapos"
Kestrel,"kestrel, kestrels"
Kildeer,"kildeer, kildeers"
Kingbird,"kingbird, kingbirds"
Kingfisher,"kingfisher, kingfishers"
Kiwi,"kiwi, kiwis"
Kookaberra,"kookaberra, kookaberras"
Lark,"lark, larks"
Leghorn,"leghorn, leghorns"
Longspur,"longspur, longspurs"
Loon,"loon, loons"
Lorikeet,"lorikeet, lorikeets"
Macaw,"macaw, macaws"
Magpie,"magpie, magpies"
MallardDuck,"mallard duck, mallard ducks"
MarbledMurrelet,"marbled murrelet, marbled murrelets"
Martin,"martin, martins"
Meadowlark,"meadowlark, meadowlarks"
Merganser,"merganser, mergansers"
Moa,"moa, moas"
Mockingbird,"mockingbird, mockingbirds"
Nandu,"nandu, nandus"
Nene,"nene, nenes"
Nighthawk,"nighthawk, nighthawks"
Nightingale,"nightingale, nightingales"
Nightjar,"nightjar, nightjars"
Nutcracker,"nutcracker, nutcrackers"
Nuthatch,"nuthatch, nuthatchs"
Oriole,"oriole, orioles"
Oropendola,"oropendola, oropendolas"
Osprey,"ospreies, osprey"
