Value,Synonyms
ApplesToApples,apples to apples
AxisAndAllies,axis and allies
Backgammon,backgammon
Balderdash,balderdash
Battleship,battleship
Candyland,candyland
Carcassonne,carcassonne
CardsAgainstHumanity,cards against humanity
Checkers,checkers
Chess,chess
ChineseCheckers,chinese checkers
ChutesAndLadders,chutes and ladders
Clue,clue
ConnectFour,connect four
Cranium,cranium
Diplomacy,diplomacy
Dominion,dominion
Dominos,dominos
DonTBreakTheIce,don't break the ice
Go,go
GuessWho,guess who?
Mahjong,mahjong
Mancala,mancala
Mastermind,mastermind
Monopoly,monopoly
Operation,operation
Othello,othello
PayDay,pay day
Pictionary,pictionary
PuertoRico,puerto rico
Reversi,reversi
Risk,risk
Scattergories,scattergories
Scrabble,scrabble
SettlersOfCatan,settlers of catan
Shogun,shogun
Sorry,sorry!
Stratego,stratego
Taboo,taboo
TheGameOfLife,the game of life
TicketToRide,ticket to ride
TrivialPursuit,trivial pursuit
Trouble,trouble
Uno,uno
Yahtzee,yahtzee
