Value,Synonyms
Adenoid,"adenoid, adenoids"
AdrenalGland,"adrenal gland, adrenal glands"
Appendix,"appendix, appendixes"
Artery,"arteries, artery"
Bladder,"bladder, bladders"
Blood,"blood, bloods"
BloodVessel,"blood vessel, blood vessels"
BodyTissue,"body tissue, body tissues"
Bone,"bone, bones"
Brain,"brain, brains"
Capillary,"capillaries, capillary"
Cartilage,"cartilage, cartilages"
Cell,"cell, cells"
CervicalVertebrae,"cervical vertebra, cervical vertebrae"
CirculatorySystem,"circulatory system, circulatory systems"
Clavicle,"clavicle, clavicles"
Coccyx,"coccyges, coccyx"
CollarBone,"collar bone, collar bones"
Diaphragm,"diaphragm, diaphragms"
DigestiveSystem,"digestive system, digestive systems"
EndocrineSystem,"endocrine system, endocrine systems"
Esophagus,"esophagi, esophagus"
FallopianTube,"fallopian tube, fallopian tubes"
Femur,"femur, femurs"
Fibula,"fibula, fibulas"
Gallbladder,"gallbladder, gallbladders"
Gland,"gland, glands"
Heart,"heart, hearts"
Humerus,"humeri, humerus"
ImmuneSystem,"immune system, immune systems"
Intestine,"intestine, intestines"
Kidney,"kidney, kidneys"
Larynx,"larynges, larynx"
Ligament,"ligament, ligaments"
Liver,"liver, livers"
LumbarVertebrae,"lumbar vertebra, lumbar vertebrae"
Lung,"lung, lungs"
LymphNode,"lymph node, lymph nodes"
Mandible,"mandible, mandibles"
Metacarpal,"metacarpal, metacarpals"
Metatarsal,"metatarsal, metatarsals"
Nerve,"nerve, nerves"
Organ,"organ, organs"
Ovary,"ovaries, ovary"
Pancreas,"pancreas, pancreata"
Patella,"patella, patellae"
Phalanges,"phalanges, phalanx"
Pharynx,"pharynges, pharynx"
Pituitary,"pituitaries,   pituitary,  pituitary gland, pituitary glands"
Rectum,"rectum, rectums"
RedBloodCell,"red blood cell, red blood cells"
RespiratorySystem,"respiratory system, respiratory systems"
Rib,"rib, ribs"
Sacrum,"sacrum,  sacrums, sacra"
Scapula,"scapula, scapulae"
SpinalColumn,"spinal column, spinal columns"
SpinalCord,"spinal cord, spinal cords"
Spine,"spine, spines"
Spleen,"spleen, spleens"
Stomach,"stomach, stomaches"
Tarsal,"tarsal, tarsals"
Tendon,"tendon, tendons"
Testes,testes
Testicle,"testicle, testicles"
Thorax,"thorax,  thoraxes, thoraces"
Thyroid,"thyroid, thyroids"
Tibia,"tibiae,  tibias, tibia"
Trachea,"trachea, tracheas"
Ulna,"ulnae,  ulnas, ulna"
Ureter,"ureter, ureters"
Urethra,"urethra, urethras"
UrinarySystem,"urinary system, urinary systems"
Uterus,"uterus, uteruses"
Uvula,"uvula, uvulas"
Vein,"vein, veins"
Vertebra,"vertebra, vertebrae"
WhiteBloodCell,"white blood cell, white blood cells"
