Value,Synonyms
AdigeRiver,adige river
AdriaticSea,adriatic sea
AegeanSea,aegean sea
AfafuraSea,afafura sea
AkageraRiver,akagera river
AlazaniRiver,alazani river
AlbaekBay,albaek bay
AlboranSea,alboran sea
AliakmonRiver,aliakmon river
AlleghenyRiver,allegheny river
AltamahaRiver,altamaha river
AmazonRiver,amazon river
AmuDaryaRiver,amu darya river
AmurRiver,amur river
AmvrakiGulf,amvraki gulf
AndamanSea,andaman sea
AnivaBay,aniva bay
ArabatskiyBay,arabatskiy bay
ArabianSea,arabian sea
ArafuraSea,arafura sea
AralSea,aral sea
ArasRiver,aras river
ArcticOcean,arctic ocean
ArgolicGulf,argolic gulf
ArhusBay,arhus bay
ArkansasRiver,arkansas river
ArnoRiver,arno river
AtchafalayaBay,atchafalaya bay
AtlanticOcean,atlantic ocean
BabElMandeb,bab el mandeb
BaffinBay,baffin bay
BalaericSea,balaeric sea
BaliSea,bali sea
BalticSea,baltic sea
BandaSea,banda sea
BandamaRiver,bandama river
BanjaLikaRiver,banja lika river
BannRiver,bann river
BarentsSea,barents sea
BarnstapleBay,barnstaple bay
BassStrait,bass strait
BayOfBengal,bay of bengal
BayOfBiscay,bay of biscay
BayOfFundy,bay of fundy
BayOfTinah,bay of tinah
BaydaratskayaBay,baydaratskaya bay
BeaufortSea,beaufort sea
BenueRiver,benue river
BerezinaRiver,berezina river
BeringSea,bering sea
BeringStrait,bering strait
BigBlackRiver,big black river
BigSandyRiver,big sandy river
BlackSea,black sea
BlackwaterRiver,blackwater river
BlockIslandSound,block island sound
BloomensteinLake,bloomenstein lake
BosnaRiver,bosna river
BosporusStrait,bosporus strait
BrahmaputraRiver,brahmaputra river
BrazosRiver,brazos river
BregalnicaRiver,bregalnica river
BridgewaterBay,bridgewater bay
BristolChannel,bristol channel
BruneiBay,brunei bay
BugRiver,bug river
BykRiver,byk river
CaemarfonBay,caemarfon bay
CaledonRiver,caledon river
CanadianRiver,canadian river
CanalDuMidi,canal du midi
CapeOfGoodHope,cape of good hope
CaquetaRiver,caqueta river
CardiganBay,cardigan bay
CaribbeanSea,caribbean sea
CarmarthenBay,carmarthen bay
CaspianSea,caspian sea
CavallaRiver,cavalla river
CedarLake,cedar lake
CedarRiver,cedar river
CellebesSea,cellebes sea
CelticSea,celtic sea
CeramSea,ceram sea
CestosRiver,cestos river
ChangRiver,chang river
ChariRiver,chari river
ChattahoocheeRiver,chattahoochee river
ChesapeakeBay,chesapeake bay
ChukchiSea,chukchi sea
ChurchillRiver,churchill river
ClydeRiver,clyde river
CoeroeniRiver,coeroeni river
ColombiaRiver,colombia river
ColoradoRiver,colorado river
CongoRiver,congo river
ConnecticutRiver,connecticut river
CookStrait,cook strait
CoralSea,coral sea
CorantijnRiver,corantijn river
CorinthCanal,corinth canal
CorinthianGulf,corinthian gulf
CraterLake,crater lake
CrnaRiver,crna river
CuangoRiver,cuango river
CubangoRiver,cubango river
CumberlandRiver,cumberland river
DallRiver,dall river
DanubeRiver,danube river
DarlingRiver,darling river
DeadSea,dead sea
DebetRiver,debet river
DeeRiver,dee river
DelawareBay,delaware bay
DelawareCanal,delaware canal
DelawareRiver,delaware river
DenmarkStrait,denmark strait
DesMoinesRiver,des moines river
DjaRiver,dja river
DnieperRiver,dnieper river
DniproRiver,dnipro river
DnistraRiver,dnistra river
DonRiver,don river
DordogneRiver,dordogne river
DoubsRiver,doubs river
DouglasBay,douglas bay
DouroRiver,douro river
DrakePassage,drake passage
DravaRiver,drava river
DrinRiver,drin river
DvinaBay,dvina bay
DvinaRiver,dvina river
DvinarRiver,dvinar river
EastSea,east sea
EastSiberianSea,east siberian sea
EbroRiver,ebro river
ElbeRiver,elbe river
EmajogiRiver,emajogi river
EmsRiver,ems river
EnglishChannel,english channel
ErtisRiver,ertis river
EssequiboRiver,essequibo river
EuphratesRiver,euphrates river
EvoikosGulf,evoikos gulf
EvrosRiver,evros river
FakseBay,fakse bay
FalemeRiver,faleme river
FeodosiyskiyBay,feodosiyskiy bay
FingerLakes,finger lakes
FirthOfClyde,firth of clyde
FishRiver,fish river
FloresSea,flores sea
FraserRiver,fraser river
