Value,Synonyms
Abdomen,"abdomen, abdomens"
AdamsApple,"adam's apple, adam's apples"
Ankle,"ankle, ankles"
Anus,"anus, anuses"
Arch,"arch, arches"
Arm,"arm, arms"
Ass,"ass, asses"
Back,"back, backs"
Backside,"backside, backsides"
BallOfTheFoot,"ball of the foot, balls of the feet"
Belly,"bellies, belly"
BellyButton,"belly button, belly buttons"
BigToe,"big toe, big toes"
Breast,"breast, breasts"
Bum,"bum, bums"
Butt,"butt, butts"
Buttock,"buttock, buttocks"
Calf,"calf, calves"
Cheek,"cheek, cheeks"
Chest,"chest, chests"
Chin,"chin, chins"
Ear,"ear, ears"
EarLobe,"ear lobe, ear lobes"
Elbow,"elbow, elbows"
Eye,"eye, eyes"
Eyebrow,"eyebrow, eyebrows"
Eyelash,"eyelash, eyelashes"
Eyelid,"eyelid, eyelids"
Face,"face, faces"
Finger,"finger, fingers"
Fingernail,"fingernail, fingernails"
Follicle,"follicle, follicles"
Foot,"feet, foot"
Forehead,"forehead, foreheads"
Groin,"groin, groins"
Gums,gums
Hair,"hair, hairs"
Hand,"hand, hands"
Head,"head, heads"
Heel,"heel, heels"
Hip,"hip, hips"
IndexFinger,"index finger, index fingers"
Instep,"instep, insteps"
Iris,"iris, irises"
Jaw,"jaw, jaws"
Knee,"knee, knees"
Leg,"leg, legs"
Lip,"lip, lips"
Lobe,"lobe, lobes"
Molar,"molar, molars"
Mouth,"mouth, mouths"
Muscle,"muscle, muscles"
Nail,"nail, nails"
Navel,"navel, navels"
Neck,"neck, necks"
Nipple,"nipple, nipples"
Nose,"nose, noses"
Nostril,"nostril, nostrils"
Palm,"palm, palms"
Pelvis,"pelvis, pelvises"
Pinky,"pinkies, pinky"
Pore,"pore, pores"
Pupil,"pupil, pupils"
Rear,"rear, rears"
RearEnd,"rear end, rear ends"
Scalp,"scalp, scalps"
Shin,"shin, shins"
Shoulder,"shoulder, shoulders"
ShoulderBlade,"shoulder blade, shoulder blades"
Skeleton,"skeleton, skeletons"
Skin,"skin, skins"
Skull,"skull, skulls"
Sole,"sole, soles"
Sternum,"sternum, sternums"
Thigh,"thigh, thighs"
Throat,"throat, throats"
Thumb,"thumb, thumbs"
Toe,"toe, toes"
Toenail,"toenail, toenails"
Tongue,"tongue, tongues"
Tonsil,"tonsil, tonsils"
Tooth,"teeth, tooth"
Torso,"torso, torsos"
Tushy,"tushies, tushy"
Waist,"waist, waists"
Wrist,"wrist, wrists"
