Value,Synonyms
Bacon,"bacon, bacons"
Bagel,"bagel, bagels"
BananaBread,"banana bread, banana breads"
BelgianWaffle,"belgian waffle, belgian waffles"
Bialy,"bialies, bialy"
Biscuit,"biscuit, biscuits"
BiscuitsAndGravy,"biscuits and gravies, biscuits and gravy"
BlackPudding,"black pudding, black puddings"
Blintz,"blintz, blintzs"
BlueberryMuffin,"blueberry muffin, blueberry muffins"
BlueberryPancake,"blueberry pancake, blueberry pancakes"
BoiledEgg,"boiled egg, boiled eggs"
BranFlake,"bran flake, bran flakes"
BreakfastBurrito,"breakfast burrito, breakfast burritos"
BreakfastCereal,"breakfast cereal, breakfast cereals"
BreakfastSandwich,"breakfast sandwich, breakfast sandwiches"
BreakfastSausage,"breakfast sausage, breakfast sausages"
ButtermilkBiscuit,"buttermilk biscuit, buttermilk biscuits"
ButtermilkPancake,"buttermilk pancake, buttermilk pancakes"
CanadianBacon,"canadian bacon, canadian bacons"
Cereal,"cereal, cereals"
CerealBar,"cereal bar, cereal bars"
ChocolateChipMuffin,"chocolate chip muffin, chocolate chip muffins"
CornedBeefHash,"corned beef hash, corned beef hashes"
Cornflake,"cornflake, cornflakes"
CranberryMuffin,"cranberry muffin, cranberry muffins"
CreamOfWheat,"cream of wheat, cream of wheats"
Croissant,"croissant, croissants"
Crêpe,"crêpe, crêpes"
Donut,"donut, donuts"
Doughnut,"doughnut, doughnuts"
DutchBabyPancake,"dutch baby pancake, dutch baby pancakes"
Egg,"egg, eggs"
EggAndCheeseOmelette,"egg and cheese omelette, egg and cheese omelettes"
EggBeater,"egg beater, egg beaters"
EggInTheBasket,"egg in the basket, egg in the baskets"
EggMcmuffin,"egg mcmuffin, egg mcmuffins"
EggOmelette,"egg omelette, egg omelettes"
EggSandwich,"egg sandwich, egg sandwiches"
EggScramble,"egg scramble, egg scrambles"
EggWhite,"egg white, egg whites"
EggsBenedict,"eggs benedict, eggs benedicts"
EggsFlorentine,"eggs florentine, eggs florentines"
EggsNeptune,"eggs neptune, eggs neptunes"
EnglishMuffin,"english muffin, english muffins"
Farina,"farina, farinas"
Flapjack,"flapjack, flapjacks"
FrenchToast,"french toast, french toasts"
FriedEgg,"fried egg, fried eggs"
Frittata,frittata
FruitCup,"fruit cup, fruit cups"
FruitSalad,"fruit salad, fruit salads"
GriddleScone,"griddle scone, griddle scones"
Grillade,"grillade, grillades"
Grits,grits
HamAndEgg,"ham and egg, ham and eggs"
HardBoiledEgg,"hard boiled egg, hard boiled eggs"
HashBrown,"hash brown, hash browns"
HomeFries,home fries
HuevosRanchero,"huevos ranchero, huevos rancheros"
IrishPudding,"irish pudding, irish puddings"
Johnnycake,"johnnycake, johnnycakes"
LemonMuffin,"lemon muffin, lemon muffins"
Lox,"lox, loxes"
MapleSausage,"maple sausage, maple sausages"
MatzahBrei,"matzah brei, matzah breis"
Mcmuffin,"mcmuffin, mcmuffins"
MonkeyBread,"monkey bread, monkey breads"
Muesli,"muesli, mueslis"
Muffin,"muffin, muffins"
Oatmeal,"oatmeal, oatmeals"
Omelette,"omelette, omelettes"
PainAuChocolat,"pain au chocolat, pain au chocolats"
Pancake,"pancake, pancakes"
Pastry,"pastries, pastry"
PoachedEgg,"poached egg, poached eggs"
PopTart,"pop-tart, pop-tarts"
PoppySeedMuffin,"poppy seed muffin, poppy seed muffins"
PorkRoll,"pork roll, pork rolls"
Porridge,"porridge, porridges"
PotatoCake,"potato cake, potato cakes"
PotatoScone,"potato scone, potato scones"
PumpkinBread,"pumpkin bread, pumpkin breads"
Quiche,"quiche, quiches"
RaisinBread,"raisin bread, raisin breads"
Scone,"scone, scones"
ScrambledEgg,"scrambled egg, scrambled eggs"
Scrapple,"scrapple, scrapples"
Slinger,"slinger, slingers"
SoftBoiledEgg,"soft boiled egg, soft boiled eggs"
SteakAndEgg,"steak and egg, steak and eggs"
StickyBun,"sticky bun, sticky buns"
TaylorHam,"taylor ham, taylor hams"
Toast,"toast, toasts"
TomatoOmelette,"tomato omelette, tomato omelettes"
TurkeySausage,"turkey sausage, turkey sausages"
Waffle,"waffle, waffles"
WesternOmelette,"western omelette, western omelettes"
ZucchiniBread,"zucchini bread, zucchini breads"
