Value,Synonyms
AdmiralButterfly,"admiral butterflies, admiral butterfly"
AmbushBug,"ambush bug, ambush bugs"
Ant,"ant, ants"
Aphid,"aphid, aphids"
Armyworm,"armyworm, armyworms"
AssassinBug,"assassin bug, assassin bugs"
AtlasMoth,"atlas moth, atlas moths"
Backswimmer,"backswimmer, backswimmers"
Bedbug,"bedbug, bedbugs"
Bee,"bee, bees"
Beetle,"beetle, beetles"
BlackWidow,"black widow,   black widow spider,  black widow spiders, black widows"
BlueMorphoButterfly,"blue morpho butterflies, blue morpho butterfly"
Bluet,"bluet, bluets"
Borer,"borer, borers"
BrazilianWanderingSpider,"brazilian wandering spider, brazilian wandering spiders"
BrownButterfly,"brown butterflies, brown butterfly"
BrownRecluse,"brown recluse, brown recluses"
BrownRecluseSpider,"brown recluse spider, brown recluse spiders"
BuckeyeButterfly,"buckeye butterflies, buckeye butterfly"
Bug,"bug, bugs"
Bumblebee,"bumblebee, bumblebees"
Butterfly,"butterflies, butterfly"
CamelSpider,"camel spider, camel spiders"
CarpenterAnt,"carpenter ant, carpenter ants"
Caterpillar,"caterpillar, caterpillars"
Centipede,"centipede, centipedes"
Chrysalis,"chrysalis, chrysalises"
Cicada,"cicada, cicadas"
Cockroach,"cockroach, cockroaches"
CommaButterfly,"comma butterflies, comma butterfly"
CopperButterfly,"copper butterflies, copper butterfly"
CraneFly,"crane flies, crane fly"
Cricket,"cricket, crickets"
Cutworm,"cutworm, cutworms"
DaddyLongLegs,daddy long legs
Damselfly,"damselflies, damselfly"
DarklingBeetle,"darkling beetle, darkling beetles"
Dragonfly,"dragonflies, dragonfly"
DungBeetle,"dung beetle, dung beetles"
Earwig,"earwig, earwigs"
FireAnt,"fire ant, fire ants"
Firefly,"fireflies, firefly"
Flea,"flea, fleas"
Fly,"flies, fly"
FritillaryButterfly,"fritillary butterflies, fritillary butterfly"
Fruitfly,"fruitflies, fruitfly"
FunnelWebSpider,"funnel-web spider, funnel-web spiders"
GardenSpider,"garden spider, garden spiders"
GiantHuntsmanSpider,"giant huntsman spider, giant huntsman spiders"
Gnat,"gnat, gnats"
GossamerWingedButterfly,"gossamer-winged butterflies, gossamer-winged butterfly"
Grasshopper,"grasshopper, grasshoppers"
GreenDarnerDragonfly,"green darner dragonflies, green darner dragonfly"
GroundBeetle,"ground beetle, ground beetles"
Grub,"grub, grubs"
GypsyMoth,"gypsy moth, gypsy moths"
HairstreakButterfly,"hairstreak butterflies, hairstreak butterfly"
HarlequinBug,"harlequin bug, harlequin bugs"
Honeybee,"honeybee, honeybees"
Hornet,"hornet, hornets"
HorseFly,"horse flies, horse fly"
HouseFly,"house flies, house fly"
HoverFly,"hover flies, hover fly"
Imago,"imago, imagos"
Insect,"insect, insects"
JapaneseBeetle,"japanese beetle, japanese beetles"
JuliaButterfly,"julia butterflies, julia butterfly"
JumpingBean,"jumping bean, jumping beans"
JumpingSpider,"jumping spider, jumping spiders"
Junebug,"junebug, junebugs"
Katydid,"katydid, katydids"
KissingBug,"kissing bug, kissing bugs"
Lacewing,"lacewing, lacewings"
Ladybug,"ladybug, ladybugs"
LeafcutterAnt,"leafcutter ant, leafcutter ants"
Leafhopper,"leafhopper, leafhoppers"
Lice,"lice, lices"
LightningBug,"lightning bug, lightning bugs"
Locust,"locust, locusts"
LonghornBeetle,"longhorn beetle, longhorn beetles"
Louse,"louse, louses"
LunaMoth,"luna moth, luna moths"
Maggot,"maggot, maggots"
Mantid,"mantid, mantids"
Mantis,"mantis, mantises"
Mayfly,"mayflies, mayfly"
Meadowhawk,"meadowhawk, meadowhawks"
Mealworm,"mealworm, mealworms"
MetalmarkButterfly,"metalmark butterflies, metalmark butterfly"
Midge,"midge, midges"
MilkweedBug,"milkweed bug, milkweed bugs"
Millipede,"millipede, millipedes"
Monarch,"monarch, monarchs"
MonarchButterfly,"monarch butterflies, monarch butterfly"
Morpho,"morpho, morphos"
Mosquito,"mosquito, mosquitos"
Moth,"moth, moths"
OregonSilverspotButterfly,"oregon silverspot butterflies, oregon silverspot butterfly"
OwlButterfly,"owl butterflies, owl butterfly"
PaintedLadyButterfly,"painted lady butterflies, painted lady butterfly"
PaperWasp,"paper wasp, paper wasps"
Planthopper,"planthopper, planthoppers"
PondSkater,"pond skater, pond skaters"
PrayingMantis,"praying mantis, praying mantises"
QueenAlexandraSBirdwingButterfly,"queen alexandra's birdwing butterflies, queen alexandra's birdwing butterfly"
Roach,"roach, roachs"
RobberFly,"robber flies, robber fly"
Scarab,"scarab, scarabs"
Silkworm,"silkworm, silkworms"
Silverfish,"silverfish, silverfishs"
Skipper,"skipper, skippers"
SnoutButterfly,"snout butterflies, snout butterfly"
Spider,"spider, spiders"
Spittlebug,"spittlebug, spittlebugs"
Springtail,"springtail, springtails"
StagBeetle,"stag beetle, stag beetles"
StinkBug,"stink bug, stink bugs"
Stonefly,"stoneflies, stonefly"
SulphurButterfly,"sulphur butterflies, sulphur butterfly"
SwallowtailButterfly,"swallowtail butterflies, swallowtail butterfly"
Tarantula,"tarantula, tarantulas"
Termite,"termite, termites"
Thrip,"thrip, thrips"
Tick,"tick, ticks"
TigerBeetle,"tiger beetle, tiger beetles"
TigerMoth,"tiger moth, tiger moths"
TsetseFly,"tsetse flies, tsetse fly"
UlyssesButterfly,"ulysses butterflies, ulysses butterfly"
ViceroyButterfly,"viceroy butterflies, viceroy butterfly"
Walkingstick,"walkingstick, walkingsticks"
Wasp,"wasp, wasps"
WaterBoatman,"water boatman, water boatmans"
Waterbug,"waterbug, waterbugs"
Waterstrider,"waterstrider, waterstriders"
Weevil,"weevil, weevils"
WolfSpider,"wolf spider, wolf spiders"
