Value,Synonyms
AccretionDisk,"accretion disk, accretion disks"
Asteroid,"asteroid, asteroids"
BlackHole,"black hole, black holes"
Blazar,"blazar, blazars"
Bolide,"bolide, bolides"
CircumpolarStar,"circumpolar star, circumpolar stars"
CircumstellarDisk,"circumstellar disk, circumstellar disks"
Comet,"comet, comets"
Constellation,"constellation, constellations"
CosmicRay,"cosmic ray, cosmic rays"
DarkEnergy,"dark energies, dark energy"
DarkMatter,"dark matter, dark matters"
DebrisDisk,"debris disk, debris disks"
DoubleAsteroid,"double asteroid, double asteroids"
DoubleStar,"double star, double stars"
DwarfPlanet,"dwarf planet, dwarf planets"
EllipticalGalaxy,"elliptical galaxies, elliptical galaxy"
EvolvedStar,"evolved star, evolved stars"
Galaxy,"galaxies, galaxy"
GalileanMoon,"galilean moon, galilean moons"
GammaRay,"gamma ray, gamma rays"
GammaRayBurst,"gamma ray burst, gamma ray bursts"
GiantMolecularCloud,"giant molecular cloud, giant molecular clouds"
GlobularCluster,"globular cluster, globular clusters"
Hypergalaxy,"hypergalaxies, hypergalaxy"
InterstellarMedium,"interstellar media, interstellar medium"
IrregularGalaxy,"irregular galaxies, irregular galaxy"
IrregularSatellite,"irregular satellite, irregular satellites"
KuiperBelt,"kuiper belt, kuiper belts"
LenticularGalaxy,"lenticular galaxies, lenticular galaxy"
MagellanicCloud,"magellanic cloud, magellanic clouds"
MajorPlanet,"major planet, major planets"
Meteor,"meteor, meteors"
MeteorShower,"meteor shower, meteor showers"
Meteorite,"meteorite, meteorites"
MinorPlanet,"minor planet, minor planets"
MolecularCloud,"molecular cloud, molecular clouds"
Nebula,"nebula, nebulas"
Nebulae,"nebulae, nebulaes"
Neutrino,"neutrino, neutrinos"
NeutronStar,"neutron star, neutron stars"
Nova,"nova, novas"
OortCloud,"oort cloud, oort clouds"
OpenCluster,"open cluster, open clusters"
Planemo,"planemo, planemos"
Planet,"planet, planets"
PlanetaryNebula,"planetary nebula, planetary nebulas"
Planetesimal,"planetesimal, planetesimals"
ProtoplanetaryDisk,"protoplanetary disk, protoplanetary disks"
Protostar,"protostar, protostars"
Pulsar,"pulsar, pulsars"
Quasar,"quasar, quasars"
QuasiStellarObject,"quasi-stellar object, quasi-stellar objects"
RadioGalaxy,"radio galaxies, radio galaxy"
RedDwarf,"red dwarf, red dwarves"
RedDwarfStar,"red dwarf star, red dwarf stars"
RedGiant,"red giant, red giants"
RedGiantStar,"red giant star, red giant stars"
RegularSatellite,"regular satellite, regular satellites"
RingGalaxy,"ring galaxies, ring galaxy"
Satellite,"satellite, satellites"
SeyfertGalaxy,"seyfert galaxies, seyfert galaxy"
ShepherdSatellite,"shepherd satellite, shepherd satellites"
ShootingStar,"shooting star, shooting stars"
SolarFlare,"solar flare, solar flares"
SolarNebula,"solar nebula, solar nebulas"
SolarWind,"solar wind, solar winds"
SpiralGalaxy,"spiral galaxies, spiral galaxy"
Star,"star, stars"
StarCluster,"star cluster, star clusters"
StellarWind,"stellar wind, stellar winds"
StoneMeteorite,"stone meteorite, stone meteorites"
StonyIron,"stony iron, stony irons"
Sunspot,"sunspot, sunspots"
Supergiant,"supergiant, supergiants"
SuperiorPlanet,"superior planet, superior planets"
Supermoon,"supermoon, supermoons"
Supernova,"supernova, supernovas"
TransNeptunianObject,"trans-neptunian object, trans-neptunian objects"
VanAllenBelt,"van allen belt, van allen belts"
VariableStar,"variable star, variable stars"
VirgoCluster,"virgo cluster, virgo clusters"
WhiteDwarf,"white dwarf, white dwarves"
WhiteDwarfStar,"white dwarf star, white dwarf stars"
XRayStar,"x-ray star, x-ray stars"
YellowDwarf,"yellow dwarf, yellow dwarves"
YellowDwarfStar,"yellow dwarf star, yellow dwarf stars"
