Value,Synonyms
AbbayeDeBelloc,"abbaye de belloc, abbaye de bellocs"
AbbayeDuMontDesCats,abbaye du mont des cats
Abertam,"abertam, abertams"
Abondance,"abondance, abondances"
Ackawi,"ackawi, ackawis"
AcornCheese,"acorn cheese, acorn cheeses"
Adelost,"adelost, adelosts"
Airag,"airag, airags"
Airedale,"airedale, airedales"
AisyCendre,"aisy cendre, aisy cendres"
AllgauerEmmentaler,"allgauer emmentaler, allgauer emmentalers"
Alverca,"alverca, alvercas"
Ambert,"ambert, amberts"
AmericanCheese,"american cheese, american cheeses"
AmiDuChambertin,"ami du chambertin, ami du chambertins"
AnejoEnchilado,"anejo enchilado, anejo enchilados"
AnneauDuVicBilh,"anneau du vic-bilh, anneau du vic-bilhs"
Anthoriro,"anthoriro, anthoriros"
Appenzell,"appenzell, appenzells"
Aragon,"aragon, aragons"
ArdiGasna,"ardi gasna, ardi gasnas"
Ardrahan,"ardrahan, ardrahans"
AromesAuGeneDeMarc,"aromes au gene de marc, aromes au gene de marcs"
Asadero,"asadero, asaderos"
Asiago,"asiago, asiagos"
AubisquePyrenees,aubisque pyrenees
Autun,"autun, autuns"
Avaxtskyr,"avaxtskyr, avaxtskyrs"
BabySwiss,"baby swiss, baby swisses"
Babybel,"babybel, babybels"
BaguetteLaonnaise,"baguette laonnaise, baguette laonnaises"
BakersCheese,"bakers cheese, bakers cheeses"
Baladi,"baladi, baladis"
Balaton,"balaton, balatons"
Bandal,"bandal, bandals"
Banon,"banon, banons"
BarrySBayCheddar,"barry's bay cheddar, barry's bay cheddars"
Basing,"basing, basings"
BasketCheese,"basket cheese, basket cheeses"
BathCheese,"bath cheese, bath cheeses"
BavarianBergkase,"bavarian bergkase, bavarian bergkases"
Beaufort,"beaufort, beauforts"
Beauvoorde,"beauvoorde, beauvoordes"
BeenleighBlue,"beenleigh blue, beenleigh blues"
BeerCheese,"beer cheese, beer cheeses"
BelPaese,"bel paese, bel paeses"
Bergader,"bergader, bergaders"
BergereBleue,"bergere bleue, bergere bleues"
Berkswell,"berkswell, berkswells"
BeyazPeynir,"beyaz peynir, beyaz peynirs"
Bierkase,"bierkase, bierkases"
BishopKennedy,"bishop kennedies, bishop kennedy"
Blarney,"blarney, blarneys"
BleuDAuvergne,"bleu d'auvergne, bleu d'auvergnes"
BleuDeGex,"bleu de gex, bleu de gexes"
BleuDeLaqueuille,"bleu de laqueuille, bleu de laqueuilles"
BleuDeSeptmoncel,"bleu de septmoncel, bleu de septmoncels"
BleuDesCausses,bleu des causses
BlueCastello,"blue castello, blue castellos"
BlueCheese,"blue cheese, blue cheeses"
Bocconcini,"bocconcini, bocconcinis"
BoerenLeidenkaas,boeren leidenkaas
Bonchester,"bonchester, bonchesters"
Bosworth,"bosworth, bosworths"
Bougon,"bougon, bougons"
BouletteDAvesnes,boulette d'avesnes
Boursault,"boursault, boursaults"
Boursin,"boursin, boursins"
Bouyssou,"bouyssou, bouyssous"
BraCheese,"bra cheese, bra cheeses"
Braudostur,"braudostur, braudosturs"
BreakfastCheese,"breakfast cheese, breakfast cheeses"
BrebisDuLavort,"brebis du lavort, brebis du lavorts"
BrebisDuLochois,brebis du lochois
BrebisDuPuyfaucon,"brebis du puyfaucon, brebis du puyfaucons"
BresseBleu,"bresse bleu, bresse bleus"
BrickCheese,"brick cheese, brick cheeses"
Brie,"brie, bries"
BrieDeMeaux,"brie de meaux, brie de meauxes"
BrieDeMelun,"brie de melun, brie de meluns"
BrillatSavarin,"brillat-savarin, brillat-savarins"
Brin,"brin, brins"
BrinDAmour,"brin d' amour, brin d' amours"
Brinza,"brinza, brinzas"
BriquetteDeBrebis,briquette de brebis
Broccio,"broccio, broccios"
BroccioDemiAffine,"broccio demi-affine, broccio demi-affines"
