Value,Synonyms
Amber,"amber, color amber"
Aqua,"aqua, color aqua"
Aquamarine,"aquamarine, color aquamarine"
Auburn,"auburn, color auburn"
Azure,"azure, color azure"
Beige,"beige, color beige"
Black,"black, color black"
Blue,"blue, color blue"
Brown,"brown, color brown"
Buff,"buff, color buff"
BurntUmber,"burnt umber, color burnt umber"
Carmine,"carmine, color carmine"
Celadon,"celadon, color celadon"
Cerise,"cerise, color cerise"
Cerulean,"cerulean, color cerulean"
Chartreuse,"chartreuse, color chartreuse"
Crimson,"color crimson, crimson"
Cyan,"color cyan, cyan"
Ebonies,"color ebonies, ebonies"
Ebony,"color ebony, ebony"
Ecru,"color ecru, ecru"
ForestGreen,"color forest green, forest green"
Fuchsia,"color fuchsia, fuchsia"
Goldenrod,"color goldenrod, goldenrod"
Gray,"color gray, gray"
Green,"color green, green"
Grey,"color grey, grey"
HotPink,"color hot pink, hot pink"
Hue,"color hue, hue"
Indigo,"color indigo, indigo"
JungleGreen,"color jungle green, jungle green"
KellyGreen,"color kelly green, kelly green"
LimeGreen,"color lime green, lime green"
Magenta,"color magenta, magenta"
Maroon,"color maroon, maroon"
Mauve,"color mauve, mauve"
NavyBlue,"color navy blue, navy blue"
Ocher,"color ocher, ocher"
OliveGreen,"color olive green, olive green"
Pastel,"color pastel, pastel"
Periwinkle,"color periwinkle, periwinkle"
Persimmon,"color persimmon, persimmon"
Pewter,"color pewter, pewter"
Pink,"color pink, pink"
PrimaryColors,"color primary colors, primary colors"
Puce,"color puce, puce"
Purple,"color purple, purple"
Red,"color red, red"
Russet,"color russet, russet"
Rust,"color rust, rust"
Sapphire,"color sapphire, sapphire"
Scarlet,"color scarlet, scarlet"
SeaGreen,"color sea green, sea green"
Sepia,"color sepia, sepia"
Sienna,"color sienna, sienna"
SteelBlue,"color steel blue, steel blue"
Tan,"color tan, tan"
Taupe,"color taupe, taupe"
Teal,"color teal, teal"
Topaz,"color topaz, topaz"
Turquoise,"color turquoise, turquoise"
Ultramarine,"color ultramarine, ultramarine"
Umber,"color umber, umber"
Vermilion,"color vermilion, vermilion"
Viridian,"color viridian, viridian"
White,"color white, white"
Yellow,"color yellow, yellow"
