Value,Synonyms
Adapter,adapter
CdRom,cd rom
Command,command
ComputerMemory,computer memory
ComputerMouse,computer mouse
Database,database
Ethernet,ethernet
Firewall,firewall
Gateway,gateway
Graphic,graphic
Hardware,hardware
Hub,hub
Input,input
Internet,internet
Keyboard,keyboard
Modem,modem
Multimedia,multimedia
Network,network
Node,node
Output,output
PatchCable,patch cable
PeerToPeer,peer-to-peer
Peripheral,peripheral
Ping,ping
Processing,processing
Protocol,protocol
Router,router
Scanner,scanner
Server,server
Software,software
