Value,Synonyms
CreamCheese,"cream cheese, cream cheeses"
DillPickle,"dill pickle, dill pickles"
Honey,"honey, honeys"
HotSauce,"hot sauce, hot sauces"
Jam,"jam, jams"
Jelly,"jellies, jelly"
Ketchup,"ketchup, ketchups"
MapleSyrup,"maple syrup, maple syrups"
Marmalade,"marmalade, marmalades"
Mayo,"mayo, mayos"
Mayonnaise,"mayonnaise, mayonnaises"
Mustard,"mustard, mustards"
PeanutButter,"peanut butter, peanut butters"
Pepper,"pepper, peppers"
Relish,"relish, relishes"
SaladDressing,"salad dressing, salad dressings"
Salsa,"salsa, salsas"
Salt,"salt, salts"
Sauce,"sauce, sauces"
SourCream,"sour cream, sour creams"
Sriracha,"sriracha, srirachas"
SteakSauce,"steak sauce, steak sauces"
SweetPickle,"sweet pickle, sweet pickles"
Syrup,"syrup, syrups"
Tabasco,"tabasco, tabascos"
TabascoSauce,"tabasco sauce, tabasco sauces"
Worcestershire,"worcestershire, worcestershires"
WorcestershireSauce,"worcestershire sauce, worcestershire sauces"
