Value,Synonyms
BakingPan,"baking pan, baking pans"
BakingSheet,"baking sheet, baking sheets"
BarbecueGrill,"barbecue grill, barbecue grills"
Baster,"baster, basters"
BastingBrush,"basting brush, basting brushes"
Blender,"blender, blenders"
BreadBasket,"bread basket, bread baskets"
BreadKnife,"bread knife, bread knives"
BundtPan,"bundt pan, bundt pans"
ButcherBlock,"butcher block, butcher blocks"
CakePan,"cake pan, cake pans"
CanOpener,"can opener, can openers"
Carafe,"carafe, caraves"
CasserolePan,"casserole pan, casserole pans"
CharcoalGrill,"charcoal grill, charcoal grills"
CheeseCloth,"cheese cloth, cheese cloths"
ChoppingKnife,"chopping knife, chopping knives"
CoffeeMaker,"coffee maker, coffee makers"
CoffeePot,"coffee pot, coffee pots"
Colander,"colander, colanders"
ConvectionOven,"convection oven, convection ovens"
Cookbook,"cookbook, cookbooks"
CookieCutter,"cookie cutter, cookie cutters"
CookiePress,"cookie press, cookie presses"
CookieSheet,"cookie sheet, cookie sheets"
CoolingRack,"cooling rack, cooling racks"
Corer,"corer, corers"
CrepePan,"crepe pan, crepe pans"
Crock,"crock, crocks"
CrockPot,"crock pot, crock pots"
CupcakePan,"cupcake pan, cupcake pans"
CustardCup,"custard cup, custard cups"
CuttingBoard,"cutting board, cutting boards"
CuttingKnife,"cutting knife, cutting knives"
DutchOven,"dutch oven, dutch ovens"
EggBeater,"egg beater, egg beaters"
EggPoacher,"egg poacher, egg poachers"
EggTimer,"egg timer, egg timers"
EspressoMachine,"espresso machine, espresso machines"
FonduePot,"fondue pot, fondue pots"
FoodProcessor,"food processor, food processors"
FryingPan,"frying pan, frying pans"
GarlicPress,"garlic press, garlic presses"
Grater,"grater, graters"
Griddle,"griddle, griddles"
GrillPan,"grill pan, grill pans"
Grinder,"grinder, grinders"
HamburgerPress,"hamburger press, hamburger presses"
HandMixer,"hand mixer, hand mixers"
HoneyPot,"honey pot, honey pots"
IceBucket,"ice bucket, ice buckets"
IceCreamScoop,"ice cream scoop, ice cream scoops"
IcingSpatula,"icing spatula, icing spatulas"
Infuser,"infuser, infusers"
JarOpener,"jar opener, jar openers"
JellyrollPan,"jellyroll pan, jellyroll pans"
Juicer,"juicer, juicers"
Kettle,"kettle, kettles"
Ladle,"ladle, ladles"
LasagnaPan,"lasagna pan, lasagna pans"
Lid,"lid, lids"
MeasuringCup,"measuring cup, measuring cups"
MeasuringSpoon,"measuring spoon, measuring spoons"
Microwave,"microwave, microwaves"
MicrowaveOven,"microwave oven, microwave ovens"
MixingBowl,"mixing bowl, mixing bowls"
Mold,"mold, molds"
MortarAndPestle,"mortar and pestle, mortar and pestles"
MuffinPan,"muffin pan, muffin pans"
NutCracker,"nut cracker, nut crackers"
Oven,"oven, ovens"
OvenMitt,"oven mitt, oven mitts"
Pan,"pan, pans"
ParchmentPaper,"parchment paper, parchment papers"
ParingKnife,"paring knife, paring knives"
PastryBag,"pastry bag, pastry bags"
Peeler,"peeler, peelers"
PepperMill,"pepper mill, pepper mills"
Percolator,"percolator, percolators"
PiePan,"pie pan, pie pans"
PizzaCutter,"pizza cutter, pizza cutters"
PizzaStone,"pizza stone, pizza stones"
Platter,"platter, platters"
Poacher,"poacher, poachers"
PopcornPopper,"popcorn popper, popcorn poppers"
Pot,"pot, pots"
PotHolder,"pot holder, pot holders"
PoultryShears,poultry shears
PressureCooker,"pressure cooker, pressure cookers"
QuichePan,"quiche pan, quiche pans"
Ramekin,"ramekin, ramekins"
Refrigerator,"refrigerator, refrigerators"
RiceCooker,"rice cooker, rice cookers"
Ricer,"ricer, ricers"
Roaster,"roaster, roasters"
RoastingPan,"roasting pan, roasting pans"
RollingPin,"rolling pin, rolling pins"
SaladBowl,"salad bowl, salad bowls"
SaladSpinner,"salad spinner, salad spinners"
SaltShaker,"salt shaker, salt shakers"
SaucePan,"sauce pan, sauce pans"
SharpeningSteel,"sharpening steel, sharpening steels"
Shears,shears
Sieve,"sieve, sieves"
Skewer,"skewer, skewers"
Skillet,"skillet, skillets"
Slicer,"slicer, slicers"
SlowCooker,"slow cooker, slow cookers"
SouffleDish,"souffle dish, souffle dishes"
SpiceRack,"spice rack, spice racks"
Steamer,"steamer, steamers"
Stockpot,"stockpot, stockpots"
Stove,"stove, stoves"
Strainer,"strainer, strainers"
Tablespoon,"tablespoon, tablespoons"
TartPan,"tart pan, tart pans"
TeaInfuser,"tea infuser, tea infusers"
Teakettle,"teakettle, teakettles"
Teaspoon,"teaspoon, teaspoons"
Thermometer,"thermometer, thermometers"
Toaster,"toaster, toasters"
ToasterOven,"toaster oven, toaster ovens"
Tong,"tong, tongs"
Trivet,"trivet, trivets"
Utensil,"utensil, utensils"
VegetableBin,"vegetable bin, vegetable bins"
VegetablePeeler,"vegetable peeler, vegetable peelers"
VegetableSteamer,"vegetable steamer, vegetable steamers"
WaffleIron,"waffle iron, waffle irons"
WaterFilter,"water filter, water filters"
Whisk,"whisk, whisks"
Wok,"wok, woks"
Zester,"zester, zesters"
