Value,Synonyms
Albertosaurus,albertosaurus
Allosaurus,allosaurus
Ankylosaurus,ankylosaurus
Apatosaurus,apatosaurus
Archaeopteryx,"archaeopteryx, archaeopteryxes"
Baryonyx,"baryonyx, baryonyxes"
Brachiosaurus,brachiosaurus
Brontosaurus,brontosaurus
Camarasaurus,camarasaurus
Carnotaurus,carnotaurus
Coelophysis,"coelophyses, coelophysis"
Compsognathus,compsognathus
Corythosaurus,corythosaurus
Deinonychus,deinonychus
Diplodocus,diplodocus
Edmontosaurus,edmontosaurus
Euoplocephalus,euoplocephalus
Gallimimus,gallimimus
Gigantosaurus,gigantosaurus
Giraffatitan,"giraffatitan, giraffatitans"
Hypsilophodon,"hypsilophodon, hypsilophodons"
Iguanodon,"iguanodon, iguanodons"
Janenschia,janenschia
Jobaria,jobaria
Kentrosaurus,kentrosaurus
Lesothosaurus,lesothosaurus
Macrurosaurus,macrurosaurus
Maiasaura,"maiasaura, maiasauras"
Mamenchisaurus,mamenchisaurus
Megalosaurus,megalosaurus
Minmi,"minmi, minmis"
Notoceratops,notoceratops
Ornithomimus,ornithomimus
Oviraptor,"oviraptor, oviraptors"
Pachycephalosaurus,pachycephalosaurus
Parasaurolophus,parasaurolophus
Plateosaurus,plateosaurus
Protoceratops,protoceratops
Psittacosaurus,psittacosaurus
Pterodactyl,"pterodactyl, pterodactyls"
Raptor,"raptor, raptors"
Riojasaurus,riojasaurus
Saurolophus,saurolophus
Saurophaganax,"saurophaganax, saurophaganaxes"
Seismosaurus,seismosaurus
Spinosaurus,spinosaurus
Stegoceras,stegoceras
Stegosaurus,stegosaurus
Styracosaurus,styracosaurus
TRex,"t rex, t rexes"
Triceratops,triceratops
Troodon,"troodon, troodons"
Tyrannosaurus,tyrannosaurus
TyrannosaurusRex,"tyrannosaurus rex, tyrannosaurus rexes"
Tyrannotitan,"tyrannotitan, tyrannotitans"
Velociraptor,"velociraptor, velociraptors"
Wannanosaurus,wannanosaurus
Xiaosaurus,xiaosaurus
Yangchuanosaurus,yangchuanosaurus
Zigongosaurus,zigongosaurus
