Value,Synonyms
Beer,"beer, beers"
Brandy,brandy
Cappuccino,"cappuccino, cappuccinos"
Champagne,"champagnes, champagne"
Cocktail,"cocktail, cocktails"
Coffee,"coffee, coffees"
Coke,"coca cola,  cokes, coke"
DrPepper,"dr pepper,   doctor pepper,  doctor peppers, dr peppers"
EggNog,"egg nog,  egg nogs,  eggnogs, eggnog"
Espresso,"espresso, espressos"
Fanta,fanta
Gin,gin
HotCocoa,"cocoa,   hot chocolate,  hot chocolates, hot cocoa"
Juice,juice
Latte,"latte, lattes"
Lemonade,"lemonade, lemonades"
Liquor,"liquor,   hard liquor,  liquors, soft liquor"
Milk,milk
Milkshake,"milkshake, milkshakes"
Mocha,mocha
MountainDew,"mountain dew, mountain dews"
Pepsi,pepsi
Punch,punch
PumpkinLatte,"pumpkin latte, pumpkin lattes, pumpkin spice latte, pumpkin spice lattes, pumpkin spiced latte, pumpkin spiced lattes"
RedBull,red bull
Rum,rum
Sake,sake
Soda,"pop,  sodas, soda"
Sprite,"sprite, sprites"
Tea,"tea,   black tea,  green tea, iced tea"
Vermouth,vermouth
Vodka,vodka
Whiskey,whiskey
Wine,"wine, wines"
