Value,Synonyms
Acid,acid
Adderall,adderall
Amphetamine,amphetamine
AngelDust,angel dust
Blunt,blunt
Bud,bud
Cannabis,cannabis
Cocaine,cocaine
Coke,coke
Crack,crack
CrackCocaine,crack cocaine
CrackRock,crack rock
Crystal,crystal
CrystalMeth,crystal meth
DankNug,dank nug
DankWeed,dank weed
Dope,dope
Ecstasy,ecstasy
FatNug,fat nug
Ganja,ganja
Gbl,gbl
Ghb,ghb
Hallucinogen,hallucinogen
Hash,hash
Hashish,hashish
Hemp,hemp
Heroin,heroin
HillbillyHeroin,hillbilly heroin
Ketamine,ketamine
Khat,khat
LaughingGas,laughing gas
Lsd,lsd
MagicMushroom,magic mushroom
Marijuana,marijuana
MaryJane,mary jane
Mdma,mdma
MeowMeow,meow meow
Mephedrone,mephedrone
Mescaline,mescaline
Meth,meth
Methadone,methadone
Methamphetamine,methamphetamine
Molly,molly
Nitrous,nitrous
Nug,nug
Oxy,oxy
Pcp,pcp
Peyote,peyote
Popper,popper
Pot,pot
Psilocybin,psilocybin
PurpleDrank,purple drank
Qat,qat
Quat,quat
Reefer,reefer
Roid,roid
Roofie,roofie
Salvia,salvia
Shroom,shroom
Skag,skag
Smack,smack
Snapper,snapper
SpecialK,special k
Speed,speed
Speedball,speedball
Spliff,spliff
Steroid,steroid
SuperK,super k
Upper,upper
VitaminA,vitamin a
VitaminK,vitamin k
Weed,weed
Whippet,whippet
YellowSunshine,yellow sunshine
