Value,Synonyms
Acrylic,"acrylic, acrylics"
Actinium,"actinia, actinium"
Alloy,"alloy, alloys"
Aluminium,"aluminia, aluminium"
Aluminum,"aluminum, aluminums"
Antimony,"antimonies, antimony"
Argon,"argon, argons"
Barium,"baria, barium"
Berkelium,"berkelia, berkelium"
Beryllium,"beryllia, beryllium"
Bismuth,"bismuth, bismuths"
Bohrium,"bohria, bohrium"
Boron,"boron, borons"
Brass,"brass, brasses"
Brick,"brick, bricks"
Bromine,"bromine, bromines"
Bronze,"bronze, bronzes"
Butane,"butane, butanes"
Cadmium,"cadmia, cadmium"
Calcium,"calcia, calcium"
Californium,"california, californium"
Carbon,"carbon, carbons"
CarbonDioxide,"carbon dioxide, carbon dioxides"
CarbonMonoxide,"carbon monoxide, carbon monoxides"
Cardboard,"cardboard, cardboards"
CastIron,"cast iron, cast irons"
Cement,"cement, cements"
Ceramic,"ceramic, ceramics"
Cerium,"ceria, cerium"
Cesium,"cesia, cesium"
Chlorine,"chlorine, chlorines"
Chromine,"chromine, chromines"
Cobalt,"cobalt, cobalts"
Copper,"copper, coppers"
Cotton,"cotton, cottons"
CubicZirconium,"cubic zirconia, cubic zirconium"
Curium,"curia, curium"
Darmstadtium,"darmstadtia, darmstadtium"
Diamond,"diamond, diamonds"
Dubnium,"dubnia, dubnium"
Dysprosium,"dysprosia, dysprosium"
Einsteinium,"einsteinia, einsteinium"
Epoxy,"epoxies, epoxy"
Erbium,"erbia, erbium"
Europium,"europia, europium"
Fermuim,"fermuim, fermuims"
Fiber,"fiber, fibers"
Fiberglass,"fiberglass, fiberglasses"
Fluorine,"fluorine, fluorines"
Francium,"francia, francium"
Freon,"freon, freons"
Gadolinium,"gadolinia, gadolinium"
Gallium,"gallia, gallium"
Germanium,"germania, germanium"
Glass,"glass, glasses"
Gold,"gold, golds"
Hafnium,"hafnia, hafnium"
Hassium,"hassia, hassium"
Helium,"helia, helium"
Holmium,"holmia, holmium"
Hydrogen,"hydrogen, hydrogens"
Indium,"india, indium"
Iodine,"iodine, iodines"
Iridium,"iridia, iridium"
Iron,"iron, irons"
Krypton,"krypton, kryptons"
Lanthanum,"lanthanum, lanthanums"
Lawrencium,"lawrencia, lawrencium"
Lead,"lead, leads"
Leather,"leather, leathers"
Linen,"linen, linens"
Lithium,"lithia, lithium"
Lutetium,"lutetia, lutetium"
Magnesium,"magnesia, magnesium"
Manganese,"manganese, manganeses"
Meitnerium,"meitneria, meitnerium"
Mendelevium,"mendelevia, mendelevium"
Mercury,"mercuries, mercury"
Metal,"metal, metals"
Methane,"methane, methanes"
Molybdenum,"molybdenum, molybdenums"
Neodymium,"neodymia, neodymium"
Neon,"neon, neons"
Neptunium,"neptunia, neptunium"
Nickel,"nickel, nickels"
Niobium,"niobia, niobium"
NitricOxide,"nitric oxide, nitric oxides"
Nitrogen,"nitrogen, nitrogens"
Nobellium,"nobellia, nobellium"
Nylon,"nylon, nylons"
Osmium,"osmia, osmium"
Oxygen,"oxygen, oxygens"
Palladium,"palladia, palladium"
Phosphorus,phosphorus
Platinum,"platinum, platinums"
Plutonium,"plutonia, plutonium"
Polonium,"polonia, polonium"
Polyester,"polyester, polyesters"
Potassium,"potassia, potassium"
Praseodymium,"praseodymia, praseodymium"
Promethium,"promethia, promethium"
Propane,"propane, propanes"
Protactinium,"protactinia, protactinium"
Radium,"radia, radium"
Radon,"radon, radons"
Rhenium,"rhenia, rhenium"
Rhodium,"rhodia, rhodium"
Rock,"rock, rocks"
Rubber,"rubber, rubbers"
Rubidium,"rubidia, rubidium"
Ruthenium,"ruthenia, ruthenium"
Rutherfordium,"rutherfordia, rutherfordium"
Samarium,"samaria, samarium"
Sand,"sand, sands"
Scandium,"scandia, scandium"
Seaborgium,"seaborgia, seaborgium"
Selenium,"selenia, selenium"
Shale,"shale, shales"
Silica,"silica, silicas"
Silicon,"silicon, silicons"
Silver,"silver, silvers"
Sodium,"sodia, sodium"
Steel,"steel, steels"
Stone,"stone, stones"
Strontium,"strontia, strontium"
Sulfur,"sulfur, sulfurs"
Tantalum,"tantalum, tantalums"
Technetium,"technetia, technetium"
Tellurium,"telluria, tellurium"
Terbium,"terbia, terbium"
Thallium,"thallia, thallium"
Thorium,"thoria, thorium"
Thulium,"thulia, thulium"
Tin,"tin, tins"
Titanium,"titania, titanium"
Tungsten,"tungsten, tungstens"
Ununbium,"ununbia, ununbium"
Ununhexium,"ununhexia, ununhexium"
Ununium,"ununia, ununium"
Ununoctium,"ununoctia, ununoctium"
Ununpentium,"ununpentia, ununpentium"
Ununquadium,"ununquadia, ununquadium"
Ununseptium,"ununseptia, ununseptium"
Ununtrium,"ununtria, ununtrium"
Uranium,"urania, uranium"
Vanadium,"vanadia, vanadium"
Vinyl,"vinyl, vinyls"
Viscose,"viscose, viscoses"
Wood,"wood, woods"
Wool,"wool, wools"
Xenon,"xenon, xenons"
Zinc,"zinc, zincs"
Zirconium,"zirconia, zirconium"
