Value,Synonyms
AdoptiveFather,"adoptive father, adoptive fathers"
AdoptiveMother,"adoptive mother, adoptive mothers"
Aunt,"aunt, aunts"
Baby,"babies, baby"
BiologicalFather,"biological father, biological fathers"
BiologicalMother,"biological mother, biological mothers"
BiologicalParent,"biological parent, biological parents"
BirthMother,"birth mother, birth mothers"
BloodRelative,"blood relative, blood relatives"
Bride,"bride, brides"
Bridegroom,"bridegroom, bridegrooms"
Brother,"bro, bros, brother, brothers"
BrotherInLaw,"brother-in-law, brother-in-laws"
Child,"child, children, kid, kids"
Cousin,"cousin, cousins"
Daughter,"daughter, daughters"
DaughterInLaw,"daughter-in-law, daughters-in-law"
Ex,"ex, exes"
ExHusband,"ex husband, ex husbands"
ExWife,"ex wife, ex wives"
Father,"father, fathers, pa, papa, papas, papi, papis, pas, pop, poppy, pops, dad, daddies, daddy, dads"
FatherInLaw,"father-in-law, fathers-in-law"
Fiancee,"fiancee, fiancees"
FirstBorn,"first born, first borns"
FirstCousin,"first cousin, first cousins"
FirstCousinOnceRemoved,"first cousin once removed, first cousins once removed"
Folks,folks
FosterChild,"foster child, foster children"
FosterFather,"foster father, foster fathers"
FosterMother,"foster mother, foster mothers"
FosterParent,"foster parent, foster parents"
FraternalTwin,"fraternal twin, fraternal twins"
Grandchild,"grandchild, grandchilds"
Grandchildren,"grandchildren, grandchildrens"
Granddaughter,"granddaughter, granddaughters"
Grandfather,"grandfathers,     grandpa,     grandpas,    grampa,   grampas,  gramps, grandfather"
Grandmother,"grannies,     granny,    grandma,   grandmas,  grandmother, grandmothers"
Grandparent,"grandparent, grandparents"
Grandson,"grandson, grandsons"
GreatAunt,"great-aunt, great-aunts"
GreatGranddaughter,"great-granddaughter, great-granddaughters"
GreatGrandfather,"great-grandfather, great-grandfathers"
GreatGrandmother,"great-grandmother, great-grandmothers"
GreatGrandparent,"great-grandparent, great-grandparents"
GreatGrandson,"great-grandson, great-grandsons"
GreatUncle,"great-uncle, great-uncles"
Groom,"groom, grooms"
HalfBrother,"half-brother, half-brothers"
HalfSister,"half-sister, half-sisters"
Husband,"husband, husbands"
IdenticalTwin,"identical twin, identical twins"
InLaw,"in-law, in-laws"
Infant,"infant, infants"
Kin,kin
Kindred,kindred
Kinfolk,"kinfolk, kinfolks"
Ma,"ma, mas"
Mama,"mama, mamas"
Mom,"mom, moms"
Mommy,"mommies, mommy"
Mother,"mother, mothers"
MotherInLaw,"mother-in-law, mothers-in-law"
Nana,"nana, nanas"
Nephew,"nephew, nephews"
Niece,"niece, nieces"
Offspring,offspring
Parent,"parent, parents"
Partner,"partner, partners"
Progeny,progeny
Quadruplet,"quadruplet, quadruplets"
Quintuplet,"quintuplet, quintuplets"
Relations,relations
Relative,"relative, relatives"
SecondCousin,"second cousin, second cousins"
Sibling,"sibling, siblings"
Sister,"sis,   sises,  sister, sisters"
SisterInLaw,"sister-in-law, sisters-in-law"
Son,"son, sons"
SonInLaw,"son-in-law, sons-in-law"
Spouse,"spouse, spouses"
Stepbrother,"stepbrother, stepbrothers"
Stepchild,"stepchild, stepchildren"
Stepdad,"stepdad, stepdads"
Stepdaughter,"stepdaughter, stepdaughters"
Stepfather,"stepfather, stepfathers"
Stepmom,"stepmom, stepmoms"
Stepmother,"stepmother, stepmothers"
Stepsister,"stepsister, stepsisters"
Stepson,"stepson, stepsons"
SurrogateMother,"surrogate mother, surrogate mothers"
Triplet,"triplet, triplets"
Twin,"twin, twins"
TwinBrother,"twin brother, twin brothers"
TwinSister,"twin sister, twin sisters"
Uncle,"uncle, uncles"
Wife,"wife, wives"
