Value,Synonyms
AbbeyRoad,abbey road
Acadia,acadia
AcadiaNationalPark,acadia national park
Acropolis,acropolis
Alamo,alamo
Alcatraz,alcatraz
Alhambra,alhambra
AngelFalls,angel falls
AngkorWat,angkor wat
ArcDeTriomphe,arc de triomphe
ArchesNationalPark,arches national park
AswanHighDam,aswan high dam
BerlinWall,berlin wall
BigBen,big ben
BigSur,big sur
BlueMosque,blue mosque
BourbonStreet,bourbon street
BranCastle,bran castle
BrandenburgGate,brandenburg gate
BridgeOfSighs,bridge of sighs
BritishMuseum,british museum
BrooklynBridge,brooklyn bridge
BryceCanyon,bryce canyon
BuckinghamPalace,buckingham palace
CapitolHill,capitol hill
Carcassone,carcassone
CarlsbadCaverns,carlsbad caverns
CentralPark,central park
CharlesBridge,charles bridge
Chartres,chartres
ChartresCathedral,chartres cathedral
ChichenItza,chichen itza
ChristTheRedeemer,christ the redeemer
ChristTheRedeemerStatue,christ the redeemer statue
CliffsOfDover,cliffs of dover
CologneCathedral,cologne cathedral
Colosseum,colosseum
CraterLake,crater lake
Crete,crete
DDayBeaches,d day beaches
DeadSea,dead sea
DeathValley,death valley
Delphi,delphi
Denali,denali
Disneyland,disneyland
Disneyworld,disneyworld
Duomo,duomo
EdinburghCastle,edinburgh castle
EgyptianPyramids,egyptian pyramids
EiffelTower,eiffel tower
EllisIsland,ellis island
EmpireStateBuilding,empire state building
Epcot,epcot
EpcotCenter,epcot center
Eurodisney,eurodisney
Everglades,everglades
EvergladesNationalPark,everglades national park
FlorenceCathedral,florence cathedral
ForbiddenCity,forbidden city
FreedomTower,freedom tower
GatewayArch,gateway arch
GiantSCauseway,giant's causeway
Giza,giza
GizaPyramids,giza pyramids
GlacierBay,glacier bay
GoldenGateBridge,golden gate bridge
GrandBazaar,grand bazaar
GrandCanyon,grand canyon
GrandTetons,grand tetons
GreatBarrierReef,great barrier reef
GreatBasin,great basin
GreatBuddha,great buddha
GreatSmokyMountains,great smoky mountains
GreatSphinx,great sphinx
GreatWallOfChina,great wall of china
GroundZero,ground zero
HagiaSophia,hagia sophia
Haleakala,haleakala
HermitageMuseum,hermitage museum
Hollywood,hollywood
HollywoodSign,hollywood sign
HollywoodWalkOfFame,hollywood walk of fame
HooverDam,hoover dam
IguazuFalls,iguazu falls
Jerusalem,jerusalem
JoshuaTree,joshua tree
Kilimanjaro,kilimanjaro
Kremlin,kremlin
LakeMead,lake mead
LasVegas,las vegas
LasVegasStrip,las vegas strip
LeaningTowerOfPisa,leaning tower of pisa
LincolnMemorial,lincoln memorial
LochNess,loch ness
LondonBridge,london bridge
LondonEye,london eye
Louvre,louvre
LouvreMuseum,louvre museum
Luxor,luxor
MachuPicchu,machu picchu
MammothCave,mammoth cave
MasaiMara,masai mara
Matterhorn,matterhorn
Mecca,mecca
MesaVerde,mesa verde
MetropolitanMuseumOfArt,metropolitan museum of art
Mezquita,mezquita
MilanCathedral,milan cathedral
Moai,moai
MoulinRouge,moulin rouge
MountFuji,mount fuji
MountRainier,mount rainier
MountRushmore,mount rushmore
MuseumOfNaturalHistory,museum of natural history
NationalAirAndSpaceMuseum,national air and space museum
NeuschwansteinCastle,neuschwanstein castle
NiagaraFalls,niagara falls
NorthCascades,north cascades
NotreDame,notre dame
NotreDameCathedral,notre dame cathedral
OceanPark,ocean park
OldFaithful,old faithful
OrientalPearlTower,oriental pearl tower
OsakaCastle,osaka castle
Pantheon,pantheon
Parthenon,parthenon
Petra,petra
PetrifiedForest,petrified forest
PiccadillyCircus,piccadilly circus
PikePlace,pike place
PikePlaceMarket,pike place market
Pompeii,pompeii
PragueCastle,prague castle
Pyramids,pyramids
PyramidsOfGiza,pyramids of giza
RialtoBridge,rialto bridge
RockOfGibraltar,rock of gibraltar
RockefellerCenter,rockefeller center
RomanColosseum,roman colosseum
SagradaFamilia,sagrada familia
SaintBasilSCathedral,saint basil's cathedral
SaintLouisArch,saint louis arch
SaintPeterSBasilica,saint peter's basilica
SanDiegoZoo,san diego zoo
Santorini,santorini
SearsTower,sears tower
SequoiaNationalPark,sequoia national park
ShanghaiWorldFinancialCenter,shanghai world financial center
Shard,shard
Shenandoah,shenandoah
SisteneChapel,sistene chapel
Smithsonian,smithsonian
SpaceNeedle,space needle
SpanishSteps,spanish steps
Sphinx,sphinx
StatueOfLiberty,statue of liberty
Stonehenge,stonehenge
SummerPalace,summer palace
SydneyHarborBridge,sydney harbor bridge
SydneyOperaHouse,sydney opera house
TableMountain,table mountain
TajMahal,taj mahal
TateModern,tate modern
Teotihuacan,teotihuacan
TerracottaWarriors,terracotta warriors
TheMet,the met
TimesSquare,times square
TivoliGardens,tivoli gardens
TokyoTower,tokyo tower
TowerBridge,tower bridge
TowerOfLondon,tower of london
TrafalgarSquare,trafalgar square
TreviFountain,trevi fountain
UniversalStudios,universal studios
ValleyOfTheKings,valley of the kings
VanGoghMuseum,van gogh museum
Vatican,vatican
VaticanCity,vatican city
Venice,venice
Verona,verona
Versailles,versailles
VictoriaPeak,victoria peak
WailingWall,wailing wall
WashingtonMonument,washington monument
WestminsterAbbey,westminster abbey
WhiteCliffsOfDover,white cliffs of dover
WhiteHouse,white house
WillisTower,willis tower
WindsorCastle,windsor castle
Yellowstone,yellowstone
YellowstoneNationalPark,yellowstone national park
Yosemite,yosemite
YosemiteNationalPark,yosemite national park
ZionNationalPark,zion national park
