Value,Synonyms
AbominableSnowman,"abominable snowman, abominable snowmen"
Alien,"alien, aliens"
Angel,"angel, angels"
Banshee,"banshee, banshees"
Basilisk,"basilisk, basilisks"
Bigfoot,"bigfoot, bigfoots"
BogeyMan,"bogey man, bogey men"
Centaur,"centaur, centaurs"
Cerberus,"cerberus, cerberuses"
Changeling,"changeling, changelings"
Cherub,"cherub, cherubs"
Chimera,"chimera, chimeras"
Colossus,"colossus, colossuses"
Crone,"crone, crones"
Cyclops,"cyclops, cyclopses"
Demon,"demon, demons"
Devil,"devil, devils"
Djinn,"djinn, djinns"
Dracula,"dracula, draculas"
Dragon,"dragon, dragons"
Dryad,"dryad, dryads"
Elf,"elf, elves"
ExtraTerrestrial,"extra-terrestrial, extra-terrestrials"
Fairy,"fairies, fairy"
FireBreathingDragon,"fire-breathing dragon, fire-breathing dragons"
Frankenstein,"frankenstein, frankensteins"
FrankensteinSMonster,"frankenstein's monster, frankenstein's monsters"
Gargoyle,"gargoyle, gargoyles"
Genie,"genie, genies"
Ghost,"ghost, ghosts, phantom, phantoms, poltergeist, poltergeists, specter, specters, spririt, spirits"
Ghoul,"ghoul, ghouls"
Giant,"giant, giants"
Gnome,"gnome, gnomes"
Goblin,"goblin, goblins"
Godzilla,"godzilla, godzillas"
Golum,"golum, golums"
Gorgon,"gorgon, gorgons"
Harpy,"harpies, harpy"
Hydra,"hydra, hydras"
Imp,"imp, imps"
Jinn,"jinn, jinns"
Kelpie,"kelpie, kelpies"
Kraken,"kraken, krakens"
LakeSpirit,"lake spirit, lake spirits"
Leprechaun,"leprechaun, leprechauns"
Leviathan,"leviathan, leviathans"
LochNessMonster,"loch ness monster, loch ness monsters"
Martian,"martian, martians"
Medusa,"medusa, medusas"
Mermaid,"mermaid, mermaids"
Merman,"merman, mermans"
Mermen,"mermen, mermens"
Monster,"monster, monsters"
Mummy,"mummies, mummy"
Nessie,"nessie, nessies"
Nymph,"nymph, nymphs"
Ogre,"ogre, ogres"
Orc,"orc, orcs"
Pegasus,"pegasus, pegasuses"
Phoenix,"phoenix, phoenixes"
Polyphemus,"polyphemus, polyphemuses"
RainBird,"rain bird, rain birds"
RavenSpirit,"raven spirit, raven spirits"
Ryu,"ryu, ryus"
SeaMonster,"sea monster, sea monsters"
Shapeshifter,"shapeshifter, shapeshifters"
Siren,"siren, sirens"
Skeleton,"skeleton, skeletons"
Sprite,"sprite, sprites"
SwampMonster,"swamp monster, swamp monsters"
TheUndead,"the undead, the undeads"
Titan,"titan, titans"
TreeNymph,"tree nymph, tree nymphs"
Troll,"troll, trolls"
Unicorn,"unicorn, unicorns"
Vampire,"vampire, vampires"
Werewolf,"werewolf, werewolfs"
Werewolves,"werewolves, werewolveses"
Witch,"witch, witches"
Yeti,"yeti, yetis"
Zombie,"zombie, zombies"
