Value,Synonyms
Angelfish,"angelfish, angelfishes"
Angelshark,"angelshark, angelsharks"
Barb,"barb, barbs"
Barracuda,"barracuda, barracudas"
BaskingShark,"basking shark, basking sharks"
Bass,"bass, basses"
Blenny,"blennies, blenny"
Blowfish,"blowfish, blowfishes"
BlueShark,"blue shark, blue sharks"
BluefinTuna,"bluefin tuna, bluefin tunas"
Bonito,"bonito, bonitos"
BonyFish,"bony fish, bony fishes"
BullShark,"bull shark, bull sharks"
Carp,"carp, carps"
Catfish,"catfish, catfishes"
Chub,"chub, chubs"
Clownfish,"clownfish, clownfishes"
Cod,"cod, cods"
Coelacanth,"coelacanth, coelacanths"
CookiecutterShark,"cookiecutter shark, cookiecutter sharks"
Crappie,"crappie, crappies"
DevilRay,"devil ray, devil rays"
Dogfish,"dogfish, dogfishes"
Dory,"dories, dory"
Dragonfish,"dragonfish, dragonfishes"
Dunkleosteus,"dunkleosteus, dunkleosteuses"
Eel,"eel, eels"
ElectricEel,"electric eel, electric eels"
Elver,"elver, elvers"
EmperorAngelfish,"emperor angelfish, emperor angelfishes"
Flounder,"flounder, flounders"
FlyingFish,"flying fish, flying fishes"
GalapagosShark,"galapagos shark, galapagos sharks"
Gar,"gar, gars"
Glassfish,"glassfish, glassfishes"
Goby,"gobies, goby"
Goldfish,"goldfish, goldfishes"
Grayling,"grayling, graylings"
GreatWhiteShark,"great white shark, great white sharks"
GreenlandShark,"greenland shark, greenland sharks"
Grouper,"grouper, groupers"
Grunion,"grunion, grunions"
GulperEel,"gulper eel, gulper eels"
Guppy,"guppies, guppy"
Haddock,"haddock, haddocks"
Hagfish,"hagfish, hagfishes"
Hake,"hake, hakes"
Halibut,"halibut, halibuts"
HammerheadShark,"hammerhead shark, hammerhead sharks"
Hatchetfish,"hatchetfish, hatchetfishes"
Herring,"herring, herrings"
HumuhumuNukunukuApuaA,"humuhumu-nukunuku-apua'a, humuhumu-nukunuku-apua'as"
Icefish,"icefish, icefishes"
Jackfish,"jackfish, jackfishes"
JohnDory,"john dories, john dory"
Koi,"koi, kois"
LakeTrout,"lake trout, lake trouts"
Lamprey,"lamprey, lampreys"
Lanternfish,"lanternfish, lanternfishes"
LemonShark,"lemon shark, lemon sharks"
LingCod,"ling cod, ling cods"
Loach,"loach, loaches"
LuminousShark,"luminous shark, luminous sharks"
Lungfish,"lungfish, lungfishes"
Mackerel,"mackerel, mackerels"
MakoShark,"mako shark, mako sharks"
MantaRay,"manta ray, manta rays"
Marlin,"marlin, marlins"
Megalodon,"megalodon, megalodons"
MegamouthShark,"megamouth shark, megamouth sharks"
Minnow,"minnow, minnows"
Monkfish,"monkfish, monkfishes"
MorayEel,"moray eel, moray eels"
Mullet,"mullet, mullets"
Needlefish,"needlefish, needlefishes"
NurseShark,"nurse shark, nurse sharks"
Oarfish,"oarfish, oarfishes"
OrangeRoughy,"orange roughies, orange roughy"
Orthacanthus,"orthacanthus, orthacanthuses"
Paddlefish,"paddlefish, paddlefishes"
Parrotfish,"parrotfish, parrotfishes"
Perch,"perch, perches"
Pike,"pike, pikes"
PilotFish,"pilot fish, pilot fishes"
Piranha,"piranha, piranhas"
Pollock,"pollock, pollocks"
Pompano,"pompano, pompanos"
Porgy,"porgies, porgy"
PortJacksonShark,"port jackson shark, port jackson sharks"
Pufferfish,"pufferfish, pufferfishes"
Pupfish,"pupfish, pupfishes"
QueenTriggerfish,"queen triggerfish, queen triggerfishes"
Quillfish,"quillfish, quillfishes"
Remora,"remora, remoras"
Rockfish,"rockfish, rockfishes"
Roughy,"roughies, roughy"
Sailfish,"sailfish, sailfishes"
Salmon,"salmon, salmons"
Sardine,"sardine, sardines"
Sawfish,"sawfish, sawfishes"
Sculpin,"sculpin, sculpins"
Seabass,"seabass, seabasses"
Seadragon,"seadragon, seadragons"
Seahorse,"seahorse, seahorses"
Shad,"shad, shads"
Shark,"shark, sharks"
Skate,"skate, skates"
Smelt,"smelt, smelts"
Snapper,"snapper, snappers"
Sole,"sole, soles"
Sturgeon,"sturgeon, sturgeons"
Sunfish,"sunfish, sunfishes"
Swordfish,"swordfish, swordfishes"
Tarpon,"tarpon, tarpons"
Tetra,"tetra, tetras"
ThreeSpineStickleback,"three-spine stickleback, three-spine sticklebacks"
ThresherShark,"thresher shark, thresher sharks"
TigerShark,"tiger shark, tiger sharks"
Triggerfish,"triggerfish, triggerfishes"
Trout,"trout, trouts"
Tuna,"tuna, tunas"
Tunny,"tunnies, tunny"
Turbot,"turbot, turbots"
UpsideDownCatfish,"upside-down catfish, upside-down catfishes"
Velvetfish,"velvetfish, velvetfishes"
Viperfish,"viperfish, viperfishes"
Walleye,"walleye, walleyes"
WhaleShark,"whale shark, whale sharks"
Whiting,"whiting, whitings"
Wrasse,"wrasse, wrasses"
XRayTetra,"x-ray tetra, x-ray tetras"
Yellowjack,"yellowjack, yellowjacks"
Yellowtail,"yellowtail, yellowtails"
ZebraBullheadShark,"zebra bullhead shark, zebra bullhead sharks"
Zebrafish,"zebrafish, zebrafishes"
