Value,Synonyms
AppleBlossom,"apple blossom, apple blossoms"
Aster,"aster, asters"
Azalea,"azalea, azaleas"
BabySBreath,"baby's breath, baby's breaths"
BachelorButton,"bachelor button, bachelor buttons"
Begonia,begonia
Bellflower,"bellflower, bellflowers"
BellsOfIreland,"bells of ireland, bells of irelands"
Bitterroot,"bitterroot, bitterroots"
BlackEyedSusan,"black-eyed susan, black-eyed susans"
Bluebell,"bluebell, bluebells"
Bluebonnet,"bluebonnet, bluebonnets"
Bougainvillea,"bougainvillea, bougainvilleas"
Buttercup,"buttercup, buttercups"
ButterflyBush,"butterfly bush, butterfly bushes"
Calendula,"calendula, calendulas"
CaliforniaPoppy,"california poppies, california poppy"
CallaLily,"calla lilies, calla lily"
Camellia,camellia
Candytuft,"candytuft, candytufts"
Canna,"canna, cannas"
Carnation,"carnation, carnations"
CarrionFlower,"carrion flower, carrion flowers"
Chicory,"chicories, chicory"
Chrysanthemum,"chrysanthemum, chrysanthemums"
Clover,"clover, clovers"
Cornflower,"cornflower, cornflowers"
CorpseFlower,"corpse flower, corpse flowers"
Cosmo,"cosmo, cosmos"
Crocus,crocus
Daffodil,"daffodil, daffodils"
Dahlia,dahlia
Daisy,"daisies, daisy"
Dandelion,"dandelion, dandelions"
Delphinium,"delphinia, delphinium"
Dianthus,dianthus
Dogwood,"dogwood, dogwoods"
Edelweiss,"edelweiss, edelweisses"
Floret,"floret, florets"
Flower,"flower, flowers, flowering plants, types of flowers, kinds of flowers, varieties of flowers"
ForgetMeNot,"forget-me-not, forget-me-nots"
Foxglove,"foxglove, foxgloves"
Freesia,freesia
Gardenia,gardenia
GerberaDaisy,"gerbera daisies, gerbera daisy"
Gillyflower,"gillyflower, gillyflowers"
Gladiolus,gladiolus
Goldenrod,"goldenrod, goldenrods"
Hawthorn,"hawthorn, hawthorns"
Heather,"heather, heathers"
Hibiscus,hibiscus
Hollyhock,"hollyhock, hollyhocks"
Honeysuckle,"honeysuckle, honeysuckles"
Hydrangea,"hydrangea, hydrangeas"
IndianBlanket,"indian blanket, indian blankets"
Iris,iris
Jasmine,"jasmine, jasmines"
Jessamine,"jessamine, jessamines"
JohnnyJumpUp,"johnny-jump-up, johnny-jump-ups"
Jonquil,"jonquil, jonquils"
KangarooPaw,"kangaroo paw, kangaroo paws"
LadySSlipper,"lady's slipper, lady's slippers"
Lantana,"lantana, lantanas"
Larkspur,"larkspur, larkspurs"
Laurel,"laurel, laurels"
Lavender,"lavender, lavenders"
Lilac,"lilac, lilacs"
LiliesOfTheValley,"lilies-of-the-valley, lilies-of-the-valleys"
Lily,"lilies, lily"
LilyOfTheValley,"lily-of-the-valley, lily-of-the-valleys"
Magnolia,magnolia
Mallow,"mallow, mallows"
Marigold,"marigold, marigolds"
Mayflower,"mayflower, mayflowers"
Mimosa,"mimosa, mimosas"
Mistletoe,"mistletoe, mistletoes"
MockOrange,"mock orange, mock oranges"
MorningGlory,"morning glories, morning glory"
MountainLaurel,"mountain laurel, mountain laurels"
Myrtle,"myrtle, myrtles"
Narcissus,narcissus
Nasturtium,"nasturtia, nasturtium"
Oleander,"oleander, oleanders"
OrangeBlossom,"orange blossom, orange blossoms"
Orchid,"orchid, orchids"
Pansy,"pansies, pansy"
PasqueFlower,"pasque flower, pasque flowers"
Passionflower,"passionflower, passionflowers"
PeachBlossom,"peach blossom, peach blossoms"
Peony,"peonies, peony"
Petal,"petal, petals"
Phlox,"phlox, phloxes"
Plumeria,plumeria
Poinsettia,poinsettia
Poppy,"poppies, poppy"
Primrose,"primrose, primroses"
PussyWillow,"pussy willow, pussy willows"
QueenAnneSLace,"queen anne's lace, queen anne's laces"
Ranunculus,ranunculus
Rhododendron,"rhododendron, rhododendrons"
Rose,"rose, roses"
Safflower,"safflower, safflowers"
SegoLily,"sego lilies, sego lily"
Sepal,"sepal, sepals"
Snapdragon,"snapdragon, snapdragons"
Stock,"stock, stocks"
Sunflower,"sunflower, sunflowers"
SweetPea,"sweet pea, sweet peas"
Thistle,"thistle, thistles"
Tickseed,"tickseed, tickseeds"
TigerLily,"tiger lilies, tiger lily"
Trillium,"trillia, trillium"
Tulip,"tulip, tulips"
VenusFlytrap,"venus flytrap, venus flytraps"
Vetch,"vetch, vetches"
Violet,"violet, violets"
Wallflower,"wallflower, wallflowers"
WildPrairieRose,"wild prairie rose, wild prairie roses"
Wildflowers,wildflowers
Wisteria,wisteria
Wolfsbane,"wolfsbane, wolfsbanes"
YuccaFlower,"yucca flower, yucca flowers"
Zinnia,zinnia
