Value,Synonyms
Apple,"apple, apples"
Apricot,"apricot, apricots"
Banana,"banana, bananas"
Berry,"berries, berry"
Blackberry,"blackberries, blackberry"
BloodOrange,"blood orange, blood oranges"
Blueberry,"blueberries, blueberry"
Boysenberry,"boysenberries, boysenberry"
Breadfruit,"breadfruit, breadfruits"
Cantaloupe,"cantaloupe, cantaloupes"
Cherry,"cherries, cherry"
Citron,"citron, citrons"
Citrus,"citrus, citruses"
Coconut,"coconut, coconuts"
Crabapple,"crabapple, crabapples"
Cranberry,"cranberries, cranberry"
Date,"date, dates"
Dragonfruit,"dragonfruit, dragonfruits"
Durian,"durian, durians"
Elderberry,"elderberries, elderberry"
Fig,"fig, figs"
Grape,"grape, grapes"
Grapefruit,"grapefruit, grapefruits"
Guava,"guava, guavas"
Honeydew,"honeydew, honeydews"
Jackfruit,"jackfruit, jackfruits"
Kiwi,"kiwi, kiwis"
Kumquat,"kumquat, kumquats"
Lemon,"lemon, lemons"
Lime,"lime, limes"
Lingonberry,"lingonberries, lingonberry"
Loquat,"loquat, loquats"
Lychee,"lychee, lychees"
MandarinOrange,"mandarin orange, mandarin oranges"
Mango,"mango, mangos"
Marionberry,"marionberries, marionberry"
Melon,"melon, melons"
Mulberry,"mulberries, mulberry"
Nectarine,"nectarine, nectarines"
Orange,"orange, oranges"
Papaya,"papaya, papayas"
PassionFruit,"passion fruit, passion fruits"
Peach,"peach, peaches"
Pear,"pear, pears"
Persimmon,"persimmon, persimmons"
Pineapple,"pineapple, pineapples"
Plantain,"plantain, plantains"
Plum,"plum, plums"
Pluot,"pluot, pluots"
Pomegranite,"pomegranite, pomegranites"
Pomelo,"pomelo, pomelos"
Prune,"prune, prunes"
Quince,"quince, quinces"
Raisin,"raisin, raisins"
Raspberry,"raspberries, raspberry"
StarFruit,"star fruit, star fruits"
Strawberry,"strawberries, strawberry"
Tangelo,"tangelo, tangelos"
Tangerine,"tangerine, tangerines"
UgliFruit,"ugli fruit, ugli fruits"
Watermelon,"watermelon, watermelons"
