Value,Synonyms
AdirondackMountains,adirondack mountains
Adirondacks,adirondacks
Alps,alps
Andes,andes
AndesMountains,andes mountains
AppalachianMountains,appalachian mountains
ArabianDesert,"arabian desert, arabian deserts"
Archipelago,"archipelago, archipelagos"
Atoll,"atoll, atolls"
Badlands,badlands
Bay,"bay, bays"
Bayou,"bayou, bayous"
Beach,"beach, beaches"
BlueRidgeMountains,blue ridge mountains
Bluff,"bluff, bluffs"
Brook,"brook, brooks"
Butte,"butte, buttes"
Caldera,"caldera, calderas"
Canyon,"canyon, canyons"
Cape,"cape, capes"
CascadeMountains,cascade mountains
Caucasus,caucasus
CaucasusMountains,caucasus mountains
Cave,"cave, caves"
Channel,"channel, channels"
Chasm,"chasm, chasms"
Cliff,"cliff, cliffs"
Coast,"coast, coasts"
ContinentalDivide,"continental divide, continental divides"
ContinentalShelf,"continental shelf, continental shelves"
CoralReef,"coral reef, coral reefs"
Cove,"cove, coves"
Crater,"crater, craters"
Creek,"creek, creeks"
Crevasse,"crevasse, crevasses"
Dale,"dale, dales"
Dell,"dell, dells"
Delta,delta
Desert,"desert, deserts"
DesertOasis,"desert oases, desert oasis"
Estuary,"estuaries, estuary"
Faultline,"faultline, faultlines"
Firth,"firth, firths"
Fjord,"fjord, fjords"
Flatiron,"flatiron, flatirons"
Flats,flats
Foothill,"foothill, foothills"
Forest,"forest, forests"
Geyser,"geyser, geysers"
Glacier,"glacier, glaciers"
Glen,"glen, glens"
GobiDesert,"gobi desert, gobi deserts"
Gorge,"gorge, gorges"
Grassland,"grassland, grasslands"
Grove,"grove, groves"
Gulch,"gulch, gulches"
Gulf,"gulf, gulves"
Gully,"gullies, gully"
Hill,"hill, hills"
HimalayanMountains,himalayan mountains
Himalayas,himalayas
HinduKush,"hindu kush, hindu kushes"
HinduKushMountains,hindu kush mountains
Hoodoo,"hoodoo, hoodoos"
ImpactCrater,"impact crater, impact craters"
Inlet,"inlet, inlets"
Island,"island, islands"
Isthmus,isthmus
Jungle,"jungle, jungles"
KalahariDesert,"kalahari desert, kalahari deserts"
Karakoram,"karakoram, karakorams"
KarakoramMountains,karakoram mountains
Knoll,"knoll, knolls"
Lagoon,"lagoon, lagoons"
Lake,"lake, lakes"
LavaDome,"lava dome, lava domes"
Levee,"levee, levees"
Marsh,"marsh, marshes"
Mesa,"mesa, mesas"
MojaveDesert,"mojave desert, mojave deserts"
Mountain,"mountain, mountains"
MountainPass,"mountain pass, mountain passes"
MountainRange,"mountain range, mountain ranges"
Oasis,"oases, oasis"
Ocean,"ocean, oceans"
Orchard,"orchard, orchards"
Pamir,"pamir, pamirs"
PamirMountains,pamir mountains
PatagonianDesert,"patagonian desert, patagonian deserts"
Peak,"peak, peaks"
Peninsula,"peninsula, peninsulas"
Plain,"plain, plains"
Plateau,"plateau, plateaus"
Pond,"pond, ponds"
Prairie,"prairie, prairies"
RainForest,"rain forest, rain forests"
Rainforest,"rainforest, rainforests"
Ravine,"ravine, ravines"
RedwoodForest,"redwood forest, redwood forests"
Reef,"reef, reefs"
Ridge,"ridge, ridges"
River,"river, rivers"
RiverDelta,river delta
Rockies,rockies
RockyMountains,rocky mountains
Sahara,"sahara, saharas"
SaharaDesert,"sahara desert, sahara deserts"
SaltFlat,"salt flat, salt flats"
SaltMarsh,"salt marsh, salt marshes"
Savanna,"savanna, savannas"
Sea,"sea, seas"
SeaCave,"sea cave, sea caves"
Seamount,"seamount, seamounts"
Shoal,"shoal, shoals"
Shore,"shore, shores"
SierraNevadaMountains,sierra nevada mountains
SierraNevadas,sierra nevadas
Sinkhole,"sinkhole, sinkholes"
Spur,"spur, spurs"
Strait,"strait, straits"
Stream,"stream, streams"
Summit,"summit, summits"
Supervolcano,"supervolcano, supervolcanos"
Swamp,"swamp, swamps"
Taiga,"taiga, taigas"
Teton,"teton, tetons"
TidePool,"tide pool, tide pools"
TienShan,"tien shan, tien shans"
TienShanMountains,tien shan mountains
TropicalRainForest,"tropical rain forest, tropical rain forests"
Tundra,"tundra, tundras"
Vale,"vale, vales"
Valley,"valley, valleys"
Volcano,"volcano, volcanos"
Waterfall,"waterfall, waterfalls"
Watershed,"watershed, watersheds"
Wetland,"wetland, wetlands"
WhiteMountains,white mountains
Woods,woods
