Value,Synonyms
Afro,"afro, afros"
AsymmetricCut,"asymmetric cut, asymmetric cuts"
AuburnHair,"auburn hair, auburn hairs"
Bangs,"bangs, bangses"
Beard,"beard, beards"
Beehive,"beehive, beehives"
BettiePage,"bettie page, bettie pages"
BigHair,big hair
BlackHair,"black hair, black hairs"
BlondHair,"blond hair, blond hairs"
BlowOut,"blow out, blow outs"
BluntCut,"blunt cut, blunt cuts"
BobCut,"bob cut, bob cuts"
Bouffant,"bouffant, bouffants"
BowlCut,"bowl cut, bowl cuts"
Braid,"braid, braids"
BrownHair,"brown hair, brown hairs"
BrushCut,"brush cut, brush cuts"
Bun,"bun, buns"
Bunches,bunches
BusinessManCut,"business-man cut, business-man cuts"
ButchCut,"butch cut, butch cuts"
BuzzCut,"buzz cut, buzz cuts"
CaesarCut,"caesar cut, caesar cuts"
Chignon,"chignon, chignons"
Chonmage,"chonmage, chonmages"
CombOver,"comb over, comb overs"
Conk,"conk, conks"
Cornrow,"cornrow, cornrows"
CrewCut,"crew cut, crew cuts"
CroppedHair,"cropped hair, cropped hairs"
CrownBraid,"crown braid, crown braids"
CroydonFacelift,"croydon facelift, croydon facelifts"
CurlyHair,"curly hair, curly hairs"
CurtainedHair,"curtained hair, curtained hairs"
Devilock,"devilock, devilocks"
DiceBob,"dice bob, dice bobs"
DidoFlip,"dido flip, dido flips"
DirtyBlondHair,"dirty blond hair, dirty blond hairs"
Dreadlock,"dreadlock, dreadlocks"
EmoHair,"emo hair, emo hairs"
EtonCrop,"eton crop, eton crops"
Extension,"extension, extensions"
Fade,"fade, fades"
FalleraHairdo,"fallera hairdo, fallera hairdos"
Fauxhawk,"fauxhawk, fauxhawks"
FeatheredHair,"feathered hair, feathered hairs"
FingerWave,"finger wave, finger waves"
FishtailHair,"fishtail hair, fishtail hairs"
FlatTop,"flat top, flat tops"
FlippedHair,flipped hair
Fontange,"fontange, fontanges"
FrenchBraid,"french braid, french braids"
FrenchTwist,"french twist, french twists"
Fringe,"fringe, fringes"
FrizzyHair,"frizzy hair, frizzy hairs"
FrostedTip,"frosted tip, frosted tips"
FullCrown,"full crown, full crowns"
GIHaircut,"g.i. haircut, g.i. haircuts"
Goatee,"goatee, goatees"
GrayHair,"gray hair, gray hairs"
HairExtension,"hair extension, hair extensions"
HairWaves,hair waves
Haircut,"haircut, haircuts"
HalfCrown,"half crown, half crowns"
HalfUpdo,"half updo, half updos"
HarvardClip,"harvard clip, harvard clips"
HiTopFade,"hi-top fade, hi-top fades"
HighAndTight,"high and tight, high and tights"
Highlight,"highlight, highlights"
HimeCut,"hime cut, hime cuts"
InductionCut,"induction cut, induction cuts"
Jewfro,"jewfro, jewfros"
JheriCurl,"jheri curl, jheri curls"
KinkyHair,"kinky hair, kinky hairs"
LayeredHair,"layered hair, layered hairs"
LibertySpike,"liberty spike, liberty spikes"
LineUp,"line up, line ups"
LongHair,"long hair, long hairs"
ManBun,"man bun, man buns"
Marcelling,"marcelling, marcellings"
ModCut,"mod cut, mod cuts"
Mohawk,"mohawk, mohawks"
MopTop,"mop-top, mop-tops"
Mullet,"mullet, mullets"
Mustache,"mustache, mustaches"
NappyHair,"nappy hair, nappy hairs"
NaturalHair,"natural hair, natural hairs"
Odango,"odango, odangos"
Oseledet,"oseledet, oseledets"
Pageboy,"pageboies, pageboy"
Payot,"payot, payots"
Perm,"perm, perms"
Pigtail,"pigtail, pigtails"
PixieCut,"pixie cut, pixie cuts"
PlatinumBlondeHair,"platinum blonde hair, platinum blonde hairs"
Pompadour,"pompadour, pompadours"
Ponyhawk,"ponyhawk, ponyhawks"
Ponytail,"ponytail, ponytails"
ProfessionalCut,"professional cut, professional cuts"
PsychobillyWedge,"psychobilly wedge, psychobilly wedges"
Quiff,"quiff, quiffs"
Rattail,"rattail, rattails"
RazorCut,"razor cut, razor cuts"
Recon,"recon, recons"
RedHair,"red hair, red hairs"
Ringlet,"ringlet, ringlets"
Shag,"shag, shags"
ShapeUp,"shape-up, shape-ups"
ShingleBob,"shingle bob, shingle bobs"
ShortHair,"short hair, short hairs"
Sideburn,"sideburn, sideburns"
SilverHair,"silver hair, silver hairs"
SlickedBackHair,"slicked-back hair, slicked-back hairs"
SpikedHair,"spiked hair, spiked hairs"
SpikyHair,"spiky hair, spiky hairs"
StraightHair,"straight hair, straight hairs"
SurferHair,"surfer hair, surfer hairs"
TaperCut,"taper cut, taper cuts"
Tonsure,"tonsure, tonsures"
Undercut,"undercut, undercuts"
Updo,"updo, updos"
WavyHair,"wavy hair, wavy hairs"
