Value,Synonyms
Allspice,allspice
Angelica,angelica
Anise,anise
Annato,annato
Basil,basil
Bay,bay
Berbere,berbere
Borage,borage
BrownSugar,brown sugar
Caper,caper
Caraway,caraway
Cardamon,cardamon
Carob,carob
CayennePepper,cayenne pepper
CelerySeed,celery seed
Chervil,chervil
Chicory,chicory
ChiliPepper,chili pepper
ChilliPowder,chilli powder
Chive,chive
Cicely,cicely
Cilantro,cilantro
Cinnamon,cinnamon
Clove,clove
Coriander,coriander
Cumin,cumin
CurryLeaf,curry leaf
CurryPowder,curry powder
Dill,dill
Epazote,epazote
Fennel,fennel
Fenugreek,fenugreek
Filé,filé
Galangal,galangal
GaramMasala,garam masala
Ginger,ginger
GreenOnion,green onion
Harissa,harissa
Horseradish,horseradish
Hyssop,hyssop
JasmineFlower,jasmine flower
JerkSpice,jerk spice
JuniperBerries,juniper berries
JuniperBerry,juniper berry
KaffirLimeLeaves,kaffir lime leaves
Lavender,lavender
LemonBalm,lemon balm
LemonVerbena,lemon verbena
Licorice,licorice
Lovage,lovage
Mace,mace
Marjoram,marjoram
Mint,mint
MustardSeed,mustard seed
Nasturtium,nasturtium
Nutmeg,nutmeg
Oregano,oregano
Paprika,paprika
Parsley,parsley
Pepper,pepper
Peppermint,peppermint
Rosemary,rosemary
Rue,rue
Saffron,saffron
Sage,sage
SaladBurnet,salad burnet
Salt,salt
Sassafras,sassafras
Savory,savory
Spearmint,spearmint
StarAnise,star anise
Sugar,sugar
Sumac,sumac
Tarragon,tarragon
Thyme,thyme
Tumeric,tumeric
Vanilla,vanilla
Wasabi,wasabi
Wintergreen,wintergreen
Woodruff,woodruff
YellowMustard,yellow mustard
