Value,Synonyms
AbrahamLincolnBirthday,"abe lincoln's birthday, abe lincoln birthday, president lincoln's birthday, president lincoln birthday, abraham lincoln's birthday, abraham lincoln birthday"
AprilFoolsDay,april fools day
AshWednesday,ash wednesday
AstronomyDay,astronomy day
BlackHistoryMonth,"black history month, african american history month"
BoxingDay,boxing day
CanadaDay,"canada day, canadas day"
CanadianThanksgiving,"canadian thanksgiving, candadian thanks giving"
ChineseNewYear,"chinese new year, chinese new years, lunar new year"
Christmas,"christmas season, christmas"
ChristmasEve,"christmas eve, the night before christmas"
ChocolatecoveredRasinsDay,"chocolate covered rasin day, chocolate covered rasins day, chocolate rasins day"
CincoDeMayo,cinco de mayo
ColumbusDay,columbus day
DaylightSavings,"daylight savings time, daylight savings"
DDay,"d day, normandy landings day, operation neptune day, operation neptunes day"
Diwali,"deepavali,   deepavali day,  diwali, diwali day"
Dussera,"vijayadashami, dasara, dussehra, dussera, dusshera"
EarthDay,earth day
Easter,"easter sunday,  easter weekend, easter"
EidAlAdha,"eid al adha, sacrifice feast day"
EidAlFitr,"eid, eid al fitr, end of ramadan, last day of ramadan"
EquinoxAmbiguous,equinox
EquinoxFall,"fall equinox, autum equinox"
EquinoxSpring,spring equinox
FathersDay,fathers day
Festivus,festivus
FirstDayOfSpring,"first day of spring, 1st day of spring"
FourTwenty,"4:20, four twenty, 420, 4-20"
FlagDay,flag day
GaneshaChaturthi,"ganesh chaturthi, vinayaka chaturthi"
GoodFriday,good friday
GroundhogDay,groundhog day
Halloween,"halloween,  hallows eve, hallow eve"
Hanukkah,"chanukah, hanukkah"
Holi,"holi, holi day"
HolidaySeason,"holiday season,  holiday seasons, holidays"
IdesOfMarch,ides of march
InternationalWomensDay,"international woman's day, international womens day, womens day, women's day, international women's day"
IndependenceDay,"july four, july fourth, the 4 of july, the 4th of july, the four of july, the fourth of july, u.s. independence day, united states independence day, america's independence day, independence day, july 4, july 4th"
IndigenousPeopleDay,indigenous people day
Kwanzaa,"kwanza,  kwanzaa, first day of kwanzaa"
LaborDay,labor day
MardiGras,"mardi gras,  shrove tuesday, fat tuesday"
MartinLutherKingDay,"martin luther king junior day,  mlk day, martin luther king day, mlk weekend"
MemorialDay,memorial day
MothersDay,mothers day
NationalBubbleWeek,"bubble week, national bubble week"
NationalMeatballDay,"meatball day, meatballs day, national meatball day"
NationalWeatherPersonsDay,"national weather person's day, national weatherman's day"
NationalPizzaDay,"national pizza day, pizza day"
NationalSoupMonth,"national soup month, soup month"
Navratri,"navaratri,  navratri, navarathri"
NewYears,"new year's,  new years, new year"
NewYearsEve,"new year's eve, new years eve"
Oktoberfest,"october fest,   october fest day,  oktoberfest, oktoberfest day"
OrthodoxEaster,"orthodox easter, orthodox easter day"
PalmSunday,palm sunday
Passover,passover
PearlHarborDay,"national pearl harbor day, national pearl harbor remembrance day, pearl harbor day, pearl harbor remembrance day"
PresidentsDay,"presidents day, president's day"
Purim,"purim,    coram,   corium,  parenham, primm"
Ramadan,"ramadan,  start of ramadan, first day of ramadan"
RosaParksDay,"rosa parks day, rosa parks' day"
RoshHashanah,rosh hashanah
SinglesAwarenessDay,singles awareness day
ScrabbleDay,scrabble day
StPatricksDay,"st. patties day, st. patty day, saint patricks day, saint patties day, saint patty day, st. patricks day, st patrick's day, saint patrick's day, st. patrick's day"
Sukkot,"cicott, succoth,  sukkot, sukkoth"
TaxDay,tax day
Thanksgiving,thanksgiving
VEDay,"v day, v e day, ve day, victory in europe day"
VJDay,"vp day, v j day, v p day, victory in the pacific day, victory over japan day"
ValentinesDay,"st. valentines day, valentines day, saint valentines day, valentine's day, saint valentine's day, valentine, valentines"
VeteransDay,veterans day
VictoriaDay,"victoria day, victorias day"
WorldSleepDay,"world sleep day, international sleep day, sleep day"
YomKippur,yom kippur
