Value,Synonyms
AirConditioner,"air conditioner, air conditioners"
Appliance,"appliance, appliances"
Awning,"awning, awnings"
BackDoor,"back door, back doors"
Baluster,"baluster, balusters"
Barbecue,"barbecue, barbecues"
Baseboard,"baseboard, baseboards"
Bathtub,"bathtub, bathtubs"
Beam,"beam, beams"
Blinds,blinds
Broom,"broom, brooms"
BunkBed,"bunk bed, bunk beds"
Carpet,"carpet, carpets"
Ceiling,"ceiling, ceilings"
Chimney,"chimney, chimneys"
ClothesDryer,"clothes dryer, clothes dryers"
ClothesWasher,"clothes washer, clothes washers"
Column,"column, columns"
Concrete,"concrete, concretes"
Cornice,"cornice, cornices"
Counter,"counter, counters"
Crib,"crib, cribs"
Cupboard,"cupboard, cupboards"
CurtainRod,"curtain rod, curtain rods"
Curtains,curtains
DishWasher,"dish washer, dish washers"
DoggieDoor,"doggie door, doggie doors"
Doghouse,"doghouse, doghouses"
Door,"door, doors"
DoorBell,"door bell, door bells"
DoorJamb,"door jamb, door jambs"
Doorknob,"doorknob, doorknobs"
Doorway,"doorway, doorways"
Dormer,"dormer, dormers"
Downspout,"downspout, downspouts"
Downstairs,downstairs
Drain,"drain, drains"
Drape,"drape, drapes"
Dryer,"dryer, dryers"
Duct,"duct, ducts"
Dustpan,"dustpan, dustpans"
Fan,"fan, fans"
Faucet,"faucet, faucets"
Fence,"fence, fences"
Fireplace,"fireplace, fireplaces"
Floor,"floor, floors"
Foundation,"foundation, foundations"
Frame,"frame, frames"
FrontDoor,"front door, front doors"
FrontStoop,"front stoop, front stoops"
Furnace,"furnace, furnaces"
Furniture,"furniture, furnitures"
FuseBox,"fuse box, fuse boxes"
Gable,"gable, gables"
GarageDoor,"garage door, garage doors"
GarageDoorOpener,"garage door opener, garage door openers"
GarbageCan,"garbage can, garbage cans"
Gate,"gate, gates"
Girder,"girder, girders"
Gutter,"gutter, gutters"
Hamper,"hamper, hampers"
Heater,"heater, heaters"
Hinge,"hinge, hinges"
Home,"home, homes"
Hose,"hose, hoses"
House,"house, houses"
Insulation,"insulation, insulations"
Jamb,"jamb, jambs"
Key,"key, keys"
Ladder,"ladder, ladders"
Lamp,"lamp, lamps"
Lanai,"lanai, lanais"
Laundry,"laundries, laundry"
Lawnmower,"lawnmower, lawnmowers"
Light,"light, lights"
LightSwitch,"light switch, light switches"
Lintel,"lintel, lintels"
Lock,"lock, locks"
Lumber,"lumber, lumbers"
Mailbox,"mailbox, mailboxes"
Mantle,"mantle, mantles"
Mat,"mat, mats"
Mirror,"mirror, mirrors"
Mop,"mop, mops"
Overhang,"overhang, overhangs"
Painting,"painting, paintings"
Paneling,"paneling, panelings"
Picture,"picture, pictures"
PictureFrame,"picture frame, picture frames"
Plumbing,"plumbing, plumbings"
Quilt,"quilt, quilts"
Railing,"railing, railings"
Rake,"rake, rakes"
Range,"range, ranges"
Roof,"roof, roofs"
Rug,"rug, rugs"
Sash,"sash, sashes"
ScreenDoor,"screen door, screen doors"
Shelf,"shelf, shelves"
Shingle,"shingle, shingles"
Shutter,"shutter, shutters"
Siding,"siding, sidings"
Sill,"sill, sills"
Sink,"sink, sinks"
Skylight,"skylight, skylights"
SlidingGlassDoor,"sliding glass door, sliding glass doors"
Stair,"stair, stairs"
Staircase,"staircase, staircases"
Stairway,"stairway, stairways"
Steps,steps
Stoop,"stoop, stoops"
StormDoor,"storm door, storm doors"
Threshhold,"threshhold, threshholds"
ThrowRug,"throw rug, throw rugs"
Toilet,"toilet, toilets"
TrashCan,"trash can, trash cans"
Trellis,trellis
Trim,"trim, trims"
Tub,"tub, tubs"
Upstairs,upstairs
VacuumCleaner,"vacuum cleaner, vacuum cleaners"
Vase,"vase, vases"
VenetianBlind,"venetian blind, venetian blinds"
Vent,"vent, vents"
Wainscotting,"wainscotting, wainscottings"
Walkway,"walkway, walkways"
Wall,"wall, walls"
WallToWallCarpet,"wall-to-wall carpet, wall-to-wall carpets"
Washer,"washer, washers"
WashingMachine,"washing machine, washing machines"
WasteBasket,"waste basket, waste baskets"
WaterHeater,"water heater, water heaters"
WeatherStripping,"weather stripping, weather strippings"
WelcomeMat,"welcome mat, welcome mats"
Window,"window, windows"
WindowPane,"window pane, window panes"
WindowSill,"window sill, window sills"
WoodStove,"wood stove, wood stoves"
