Value,Synonyms
AnniversaryParty,"anniversary parties, anniversary party"
BachelorParty,"bachelor parties, bachelor party"
BacheloretteParty,"bachelorette parties, bachelorette party"
BarbecueParty,"barbecue parties, barbecue party"
BirthdayParty,"birthday parties, birthday party"
ChristmasParty,"christmas parties, christmas party"
CocktailParty,"cocktail parties, cocktail party"
CostumeParty,"costume parties, costume party"
DanceParty,"dance parties, dance party"
DinnerParty,"dinner parties, dinner party"
EasterParty,"easter parties, easter party"
FancyDressParty,"fancy dress parties, fancy dress party"
FatherSDayParty,"father's day parties, father's day party"
FratParty,"frat parties, frat party"
GoingAwayParty,"going away parties, going away party"
GoodbyeParty,"goodbye parties, goodbye party"
GraduationParty,"graduation parties, graduation party"
HalloweenParty,"halloween parties, halloween party"
HolidayParty,"holiday parties, holiday party"
HousewarmingParty,"housewarming parties, housewarming party"
LuauParty,"luau parties, luau party"
MardiGrasParty,"mardi gras parties, mardi gras party"
MasqueradeBall,"masquerade ball, masquerade balls"
MasqueradeParty,"masquerade parties, masquerade party"
MotherSDayParty,"mother's day parties, mother's day party"
MurderMysteryParty,"murder mystery parties, murder mystery party"
NewYearParty,"new year parties, new year party"
NewYearSEveParty,"new year's eve parties, new year's eve party"
NewYearSParty,"new year's parties, new year's party"
OfficeParty,"office parties, office party"
PoolParty,"pool parties, pool party"
Quinceanera,"quinceanera, quinceaneras"
SillyHatParty,"silly hat parties, silly hat party"
SleepoverParty,"sleepover parties, sleepover party"
SuperBowlParty,"super bowl parties, super bowl party"
SweetSixteen,"sweet sixteen, sweet sixteens"
TeaParty,"tea parties, tea party"
TogaParty,"toga parties, toga party"
UglySweaterParty,"ugly sweater parties, ugly sweater party"
WeddingParty,"wedding parties, wedding party"
WeddingReception,"wedding reception, wedding receptions"
WelcomeParty,"welcome parties, welcome party"
WorkParty,"work parties, work party"
