Value,Synonyms
Abkhaz,abkhaz
Afrikaans,afrikaans
Albanian,albanian
Amharic,amharic
Arabic,arabic
Armenian,armenian
Assamese,assamese
Basque,basque
Belarusian,belarusian
Bengali,bengali
Berber,berber
Bhojpuri,bhojpuri
Bosnian,bosnian
Bulgarian,bulgarian
Burmese,burmese
Cantonese,cantonese
CantoneseChinese,cantonese chinese
Catalan,catalan
Chichewa,chichewa
Chinese,chinese
Chipewyan,chipewyan
Croatian,croatian
Czech,czech
Danish,danish
Dutch,dutch
English,english
Estonian,estonian
FaroeseFijian,faroese fijian
Filipino,filipino
Finnish,finnish
French,french
Gaelic,gaelic
Gan,gan
Georgian,georgian
German,german
Greek,greek
Gujarati,gujarati
HaitianCreole,haitian creole
Hakka,hakka
Hausa,hausa
Hawaiian,hawaiian
Hebrew,hebrew
Hindi,hindi
Hmong,hmong
Hungarian,hungarian
Ibibio,ibibio
Icelandic,icelandic
Igbo,igbo
Inuinnaqtun,inuinnaqtun
Inukitut,inukitut
Irish,irish
Italian,italian
Japanese,japanese
Javanese,javanese
Kannada,kannada
Kashmiri,kashmiri
Kazakh,kazakh
Khmer,khmer
Korean,korean
Kurdish,kurdish
Kyrgyz,kyrgyz
Lao,lao
Latvian,latvian
Lithuanuan,lithuanuan
Lugandan,lugandan
Luxembourgish,luxembourgish
Macedonian,macedonian
Madurese,madurese
Maithili,maithili
Malagasy,malagasy
Malay,malay
Malayalam,malayalam
Maltese,maltese
Mandarin,mandarin
MandarinChinese,mandarin chinese
ManxGaelic,manx gaelic
Maori,maori
Marathi,marathi
Mayan,mayan
Maysian,maysian
Min,min
Moldovian,moldovian
Mongolian,mongolian
Montenegran,montenegran
Ndebele,ndebele
Nepali,nepali
NorthernSotho,northern sotho
Norwegian,norwegian
Oriya,oriya
Oromo,oromo
Ossetian,ossetian
Pashto,pashto
Persian,persian
Polish,polish
Portuguese,portuguese
Punjabi,punjabi
Quechua,quechua
Romanian,romanian
Russian,russian
Sami,sami
Sanskrit,sanskrit
Serbian,serbian
Shona,shona
Sindhi,sindhi
Sinhala,sinhala
Slovak,slovak
Slovene,slovene
Somali,somali
Sotho,sotho
Spanish,spanish
SrananTongo,sranan tongo
Sunda,sunda
Swahili,swahili
Swati,swati
Swedish,swedish
Tagalog,tagalog
Tahitian,tahitian
Tajik,tajik
Tamil,tamil
Telugu,telugu
Tetum,tetum
Thai,thai
Tibetan,tibetan
TokPisin,tok pisin
Tsonga,tsonga
Turkish,turkish
Turkmen,turkmen
Ukrainian,ukrainian
Urdu,urdu
Uzbek,uzbek
Venda,venda
Vietnamese,vietnamese
Welsh,welsh
Wu,wu
Xhosa,xhosa
Xiang,xiang
Yiddish,yiddish
Yoruba,yoruba
Yue,yue
Zhuang,zhuang
Zulu,zulu
