Value,Synonyms
Aardvark,"aardvark, aardvarks"
AfricanElephant,"african elephant, african elephants"
AfricanWildCat,"african wild cat, african wild cats"
Agouti,"agouti, agoutis"
Alpaca,"alpaca, alpacas"
AmericanBison,"american bison, american bisons"
Anteater,"anteater, anteaters"
Antelope,"antelope, antelopes"
Ape,"ape, apes"
ArcticFox,"arctic fox, arctic foxes"
ArcticWolf,"arctic wolf, arctic wolves"
Armadillo,"armadillo, armadillos"
Arsinoitherium,"arsinoitherium, arsinoitheriums"
Artiodactyl,"artiodactyl, artiodactyls"
Baboon,"baboon, baboons"
BactrianCamel,"bactrian camel, bactrian camels"
Badger,"badger, badgers"
Bandicoot,"bandicoot, bandicoots"
Bat,"bat, bats"
Bear,"bear, bears"
Beaver,"beaver, beavers"
BelugaWhale,"beluga whale, beluga whales"
BighornSheep,bighorn sheep
Bilby,"bilbies, bilby"
Binturong,"binturong, binturongs"
Bison,bison
BlackBear,"black bear, black bears"
BlueWhale,"blue whale, blue whales"
Bobcat,"bobcat, bobcats"
Bongo,"bongo, bongos"
Bonobo,"bonobo, bonobos"
BowheadWhale,"bowhead whale, bowhead whales"
BrownBear,"brown bear, brown bears"
Buffalo,"buffalo, buffalos"
Bull,"bull, bulls"
Bushbaby,"bushbabies, bushbaby"
CaliforniaSeaLion,"california sea lion, california sea lions"
Camel,"camel, camels"
CapeBuffalo,"cape buffalo, cape buffalos"
Capybera,"capybera, capyberas"
Caracal,"caracal, caracals"
Caribou,"caribou, caribous"
Carnivora,"carnivora, carnivoras"
Cat,"kitties,     kitty,    cat,   cats,  kitten, kittens"
Catamount,"catamount, catamounts"
Cattle,"cattle, cattles"
Cavy,"cavies, cavy"
Cheetah,"cheetah, cheetahs"
Chimipanzee,"chimp,   chimpanzee,  chimpanzees, chimps"
Chinchilla,"chinchilla, chinchillas"
Chipmunk,"chipmunk, chipmunks"
Coati,"coati, coatis"
CollaredPeccary,"collared peccaries, collared peccary"
Colugo,"colugo, colugos"
Cougar,"cougar, cougars"
Cow,"cow, cows"
Coyote,"coyote, coyotes"
Coypu,"coypu, coypus"
DallSPorpoise,"dall's porpoise, dall's porpoises"
DallSheep,dall sheep
Dalmatian,"dalmatian, dalmatians"
Deer,deer
Dhole,"dhole, dholes"
Dingo,"dingo, dingos"
Doedicurus,"doedicurus, doedicuruses"
Dog,"dog,   dogs,  puppies, puppy"
Dolphin,"dolphin, dolphins"
Donkey,"donkey, donkeys"
Dromedary,"dromedaries, dromedary"
DuckBilledPlatypus,"duck-billed platypus, duck-billed platypuses"
Dugong,"dugong, dugongs"
Echidna,"echidna, echidnas"
Ekaltadelta,"ekaltadelta, ekaltadeltas"
Eland,"eland, elands"
Elephant,"elephant, elephants"
ElephantSeal,"elephant seal, elephant seals"
Elk,"elk, elks"
Eohippus,"eohippus, eohippuses"
Ermine,"ermine, ermines"
FennecFox,"fennec fox, fennec foxes"
Ferret,"ferret, ferrets"
FinWhale,"fin whale, fin whales"
FlyingSquirrel,"flying squirrel, flying squirrels"
Fossa,"fossa, fossas"
Fox,"fox, foxes"
FruitBat,"fruit bat, fruit bats"
Galagos,"galagos, galagoses"
Gazelle,"gazelle, gazelles"
Gerbil,"gerbil, gerbils"
Gibbon,"gibbon, gibbons"
Giraffe,"giraffe, giraffes"
Glyptodon,"glyptodon, glyptodons"
Gnu,"gnu, gnus"
Goat,"goat, goats"
GoldenLionTamarin,"golden lion tamarin, golden lion tamarins"
Gopher,"gopher, gophers"
Gorilla,"gorilla, gorillas"
GrayWhale,"gray whale, gray whales"
GreatApe,"great ape, great apes"
GrizzlyBear,"grizzly bear, grizzly bears"
Groundhog,"groundhog, groundhogs"
GuineaPig,"guinea pig, guinea pigs"
