Value,Synonyms
ACappella,a cappella
AcidJazz,acid jazz
AcidRock,acid rock
AcousticBlues,acoustic blues
AdultAlternative,adult alternative
AdultContemporary,adult contemporary
AfricanMusic,african music
AfroBeat,afro-beat
AfroPop,afro-pop
AfroPunk,afro punk
AlternativeCountry,alternative country
AlternativeFolk,alternative folk
AlternativeMusic,alternative music
AlternativeRap,alternative rap
AlternativeRock,alternative rock
AmbientMusic,ambient music
Americana,americana
AnimeMusic,anime music
ArenaRock,arena rock
ArtPunk,art punk
ArtRock,art rock
AsianMusic,asian music
AustralianMusic,australian music
AvantGardeJazz,avant-garde jazz
AvantGardeMusic,avant-garde music
Barbershop,barbershop
BarbershopQuartet,barbershop quartet
Baroque,baroque
Bebop,bebop
BigBand,big band
BlackMetal,black metal
Bluegrass,bluegrass
Blues,blues
BossaNova,bossa nova
BrazilianMusic,brazilian music
Breakbeat,breakbeat
Britpop,britpop
BubblegumPop,bubblegum pop
CajunMusic,cajun music
Calypso,calypso
CaribbeanMusic,caribbean music
Celtic,celtic
ChamberMusic,chamber music
ChantMusic,chant music
ChantingMusic,chanting music
ChicagoBlues,chicago blues
Children’SMusic,children’s music
Choral,choral
ChristianMetal,christian metal
ChristianPop,christian pop
ChristianRap,christian rap
ChristianRock,christian rock
ChristmasMusic,christmas music
ClassicBlues,classic blues
ClassicRock,classic rock
Classical,classical
ClubMusic,club music
CollegeRock,college rock
ContemporaryBlues,contemporary blues
ContemporaryJazz,contemporary jazz
ContemporaryLatin,contemporary latin
CountryBlues,country blues
CountryGospel,country gospel
CountryMusic,"country, country music"
DanceMusic,dance music
Dancehall,dancehall
DeathMetal,death metal
DeepHouse,deep house
DeltaBlues,delta blues
Disco,disco
Dixieland,dixieland
DooWop,doo wop
Downtempo,downtempo
DrumAndBass,drum and bass
Dub,dub
Dubstep,dubstep
EastCoastRap,east coast rap
EasyListening,easy listening
Edm,edm
ElectricBlues,electric blues
Electro,electro
ElectroHouse,electro house
ElectronicDance,electronic dance
ElectronicMusic,electronic music
ElectronicRock,electronic rock
Electronica,electronica
Electroswing,electroswing
EuropeanMusic,european music
ExperimentalRock,experimental rock
Flamenco,flamenco
FolkMusic,"folk, folk music"
FolkPunk,folk punk
FolkRock,folk-rock
Funk,funk
GangstaRap,gangsta rap
GarageMusic,garage music
GlamRock,glam rock
Gospel,gospel
GothMusic,goth music
GothicRock,gothic rock
GregorianChant,gregorian chant
Grunge,grunge
GypsyJazz,gypsy jazz
HairMetal,hair metal
HardDance,hard dance
HardRock,hard rock
HardcoreMusic,hardcore music
HardcorePunk,hardcore punk
HardcoreRap,hardcore rap
HealingMusic,healing music
HeavyMetal,heavy metal
HipHop,hip hop
HolidayMusic,holiday music
HonkyTonk,honky tonk
Horrorcore,horrorcore
HouseMusic,house music
Idm,idm
IndianPop,indian pop
IndieFolk,indie folk
IndiePop,indie pop
IndieRock,indie rock
IndustrialMusic,industrial music
InstrumentalMusic,instrumental music
JPop,j-pop
JamBands,jam bands
JapanesePop,japanese pop
Jazz,jazz
Jingles,jingles
JungleMusic,jungle music
KPop,k-pop
Klezmer,klezmer
LatinJazz,latin jazz
LatinMusic,latin music
LatinRap,latin rap
LoungeMusic,lounge music
Lullabies,lullabies
MarchingBandMusic,marching band music
MedievalMusic,medieval music
MeditationMusic,meditation music
MetalMusic,metal music
Motown,motown
Musicals,musicals
NewAgeMusic,new age music
NewWaveMusic,new wave music
OldSchoolRap,old school rap
Opera,opera
Orchestral,orchestral
OriginalScore,original score
Polka,polka
PopMusic,pop music
ProgRock,prog rock
ProgressiveRock,progressive rock
PsychedelicMusic,psychedelic music
Punk,punk
RAndB,r and b
Ragtime,ragtime
Rap,rap
Reggae,reggae
Reggaeton,reggaeton
RelaxationMusic,relaxation music
RenaissanceMusic,renaissance music
Rock,rock
RockAndRoll,rock and roll
Rockabilly,rockabilly
RomanticMusic,romantic music
RootsReggae,roots reggae
RootsRock,roots rock
SalsaMusic,salsa music
SingAlong,sing-along
SingerSongwriter,singer songwriter
Ska,ska
SmoothJazz,smooth jazz
SoftRock,soft rock
Soul,soul
Soundtrack,soundtrack
SouthernRock,southern rock
SpanishFlamenco,spanish flamenco
Standards,standards
SteampunkMusic,steampunk music
SurfMusic,surf music
SurfRock,surf rock
SwingMusic,swing music
Techno,techno
TraditionalCeltic,traditional celtic
TraditionalPop,traditional pop
TranceMusic,trance music
TripHop,trip hop
TvThemes,tv themes
UndergroundRap,underground rap
WestCoastRap,west coast rap
WorldMusic,world music
Worldbeat,worldbeat
Zydeco,zydeco
