Value,Synonyms
Accordion,"accordion, accordions"
AcousticGuitar,"acoustic guitar, acoustic guitars"
AeolianHarp,"aeolian harp, aeolian harps"
Alphorn,"alphorn, alphorns"
AltoSaxophone,"alto saxophone, alto saxophones"
Anvil,"anvil, anvils"
BabyGrandPiano,"baby grand piano, baby grand pianos"
Bagpipe,"bagpipe, bagpipes"
Balalaika,"balalaika, balalaikas"
Bandoneón,"bandoneón, bandoneóns"
Bandura,"bandura, banduras"
Banjo,"banjo, banjos"
BaritoneHorn,"baritone horn, baritone horns"
Bass,"bass, basses"
BassClarinet,"bass clarinet, bass clarinets"
BassDrum,"bass drum, bass drums"
BassGuitar,"bass guitar, bass guitars"
Bassoon,"bassoon, bassoons"
Bell,"bell, bells"
BongoDrum,"bongo drum, bongo drums"
Bouzouki,"bouzouki, bouzoukis"
Bow,"bow, bows"
BrassInstrument,"brass instrument, brass instruments"
Bugle,"bugle, bugles"
Calliope,"calliope, calliopes"
Carillon,"carillon, carillons"
Castanet,"castanet, castanets"
Celesta,celesta
Cello,"cello, cellos"
CelticHarp,"celtic harp, celtic harps"
Chimes,chimes
Cimbalom,"cimbalom, cimbaloms"
Clarinet,"clarinet, clarinets"
ClassicalGuitar,"classical guitar, classical guitars"
Clavichord,"clavichord, clavichords"
Clavier,"clavier, claviers"
Concertina,"concertina, concertinas"
Conch,"conch, conches"
CongaDrum,"conga drum, conga drums"
Contrabass,"contrabass, contrabasses"
Cornet,"cornet, cornets"
Cowbell,"cowbell, cowbells"
Cymbal,"cymbal, cymbals"
Didgeridoo,"didgeridoo, didgeridoos"
DoubleBass,"double bass, double basses"
Drum,"drum, drums"
Dulcimer,"dulcimer, dulcimers"
ElectricGuitar,"electric guitar, electric guitars"
ElectricOrgan,"electric organ, electric organs"
EnglishHorn,"english horn, english horns"
Euphonium,"euphonia, euphonium"
Fiddle,"fiddle, fiddles"
Fife,"fife, fives"
Flugelhorn,"flugelhorn, flugelhorns"
Flute,"flute, flutes"
FrenchHorn,"french horn, french horns"
Glockenspiel,"glockenspiel, glockenspiels"
Gong,"gong, gongs"
GrandPiano,"grand piano, grand pianos"
Guitar,"guitar, guitars"
HammeredDulcimer,"hammered dulcimer, hammered dulcimers"
Harmonica,"harmonica, harmonicas"
Harmonium,"harmonia, harmonium"
Harp,"harp, harps"
Harpsichord,"harpsichord, harpsichords"
Helicon,"helicon, helicons"
Horn,"horn, horns"
HurdyGurdy,"hurdy gurdies, hurdy gurdy"
JawHarp,"jaw harp, jaw harps"
JewSHarp,"jew's harp, jew's harps"
Kazoo,"kazoo, kazoos"
Kettledrum,"kettledrum, kettledrums"
Keyboard,"keyboard, keyboards"
Lute,"lute, lutes"
Lyre,"lyre, lyres"
Mandolin,"mandolin, mandolins"
Maraca,"maraca, maracas"
Marimba,"marimba, marimbas"
Mellophone,"mellophone, mellophones"
Melodeon,"melodeon, melodeons"
MoogSynthesizer,"moog synthesizer, moog synthesizers"
MusicalInstrument,"musical instrument, musical instruments"
MusicalSaw,"musical saw, musical saws"
Oboe,"oboe, oboes"
Organ,"organ, organs"
PanPipe,"pan pipe, pan pipes"
PennyWhistle,"penny whistle, penny whistles"
Piano,"piano, pianos"
Piccolo,"piccolo, piccolos"
Pipa,"pipa, pipas"
PipeOrgan,"pipe organ, pipe organs"
PlayerPiano,"player piano, player pianos"
PumpOrgan,"pump organ, pump organs"
Rainstick,"rainstick, rainsticks"
Rattle,"rattle, rattles"
Recorder,"recorder, recorders"
Saw,"saw, saws"
Sax,"sax, saxes"
Saxophone,"saxophone, saxophones"
Sitar,"sitar, sitars"
SlideWhistle,"slide whistle, slide whistles"
SnareDrum,"snare drum, snare drums"
Sousaphone,"sousaphone, sousaphones"
Spinet,"spinet, spinets"
Spoons,spoons
SteelDrum,"steel drum, steel drums"
SteelGuitar,"steel guitar, steel guitars"
StringBass,"string bass, string basses"
StringInstrument,"string instrument, string instruments"
Synthesizer,"synthesizer, synthesizers"
Tabla,"tabla, tablas"
Tambourine,"tambourine, tambourines"
Theramin,"theramin, theramins"
ThumbPiano,"thumb piano, thumb pianos"
Timpani,"timpani, timpanis"
TinWhistle,"tin whistle, tin whistles"
TomTomDrum,"tom-tom drum, tom-tom drums"
Triangle,"triangle, triangles"
Trombone,"trombone, trombones"
Trumpet,"trumpet, trumpets"
Tuba,"tuba, tubas"
TubularBells,tubular bells
Ukulele,"ukulele, ukuleles"
UprightPiano,"upright piano, upright pianos"
Valve,"valve, valves"
Vibraphone,"vibraphone, vibraphones"
Viola,"viola, violas"
Violin,"violin, violins"
Violincello,"violincello, violincellos"
Vuvuzela,"vuvuzela, vuvuzelas"
WagnerTuba,"wagner tuba, wagner tubas"
Washboard,"washboard, washboards"
Whistle,"whistle, whistles"
WindChime,"wind chime, wind chimes"
WindInstrument,"wind instrument, wind instruments"
WoodwindInstrument,"woodwind instrument, woodwind instruments"
Xylophone,"xylophone, xylophones"
Zither,"zither, zithers"
