Value,Synonyms
Abkhaz,abkhaz
Abkhazian,abkhazian
Afghan,afghan
Afghani,afghani
African,african
Albanian,albanian
Algerian,algerian
American,american
AmericanSamoan,american samoan
Andorran,andorran
Angolan,angolan
Anguillan,anguillan
Antarctic,antarctic
Antiguan,antiguan
Argentine,argentine
Armenian,armenian
Aruban,aruban
Asian,asian
Australian,australian
Austrian,austrian
Azerbaijani,azerbaijani
Azeri,azeri
Bahamian,bahamian
Bahraini,bahraini
Bangladeshi,bangladeshi
Barbadian,barbadian
Barbudan,barbudan
Basotho,basotho
Belarusian,belarusian
Belgian,belgian
Belizean,belizean
Bermudan,bermudan
Bermudian,bermudian
Bhutanese,bhutanese
BissauGuinean,bissau-guinean
Bolivian,bolivian
Bonaire,bonaire
Bosnian,bosnian
Botswanan,botswanan
Brazilian,brazilian
British,british
Bruneian,bruneian
Bulgarian,bulgarian
Burkinabé,burkinabé
Burmese,burmese
Burundian,burundian
CaboVerdean,cabo verdean
Cambodian,cambodian
Cameroonian,cameroonian
Canadian,canadian
Caymanian,caymanian
CentralAfrican,central african
Chadian,chadian
Chilean,chilean
Chinese,chinese
ChristmasIsland,christmas island
CocosIsland,cocos island
Colombian,colombian
Comoran,comoran
Comorian,comorian
Congolese,congolese
CostaRican,costa rican
Croatian,croatian
Cuban,cuban
Curaçaoan,curaçaoan
Cypriot,cypriot
Czech,czech
Danish,danish
Djiboutian,djiboutian
Dominican,dominican
Dutch,dutch
Ecuadoran,ecuadoran
Egyptian,egyptian
Emirati,emirati
English,english
EquatorialGuinean,equatorial guinean
Eritrean,eritrean
Estonian,estonian
Ethiopian,ethiopian
European,european
FalklandIsland,falkland island
Faroese,faroese
Fijian,fijian
Filipino,filipino
Finnish,finnish
French,french
FrenchGuianese,french guianese
FrenchPolynesian,french polynesian
Gabonese,gabonese
Gambian,gambian
Georgian,georgian
German,german
Ghanaian,ghanaian
Gibraltar,gibraltar
Greek,greek
Greenlandic,greenlandic
Grenadian,grenadian
Guadeloupe,guadeloupe
Guamanian,guamanian
Guambat,guambat
Guatemalan,guatemalan
Guinean,guinean
Guyanese,guyanese
Haitian,haitian
Herzegovinian,herzegovinian
Honduran,honduran
HongKongese,hong kongese
Hungarian,hungarian
Icelandic,icelandic
Indian,indian
Indonesian,indonesian
Iranian,iranian
Iraqi,iraqi
Irish,irish
Israeli,israeli
Italian,italian
Ivorian,ivorian
Jamaican,jamaican
JanMayen,jan mayen
Japanese,japanese
Jordanian,jordanian
Kazakh,kazakh
Kazakhstani,kazakhstani
Kenyan,kenyan
Korean,korean
Kosovan,kosovan
Kosovar,kosovar
Kuwaiti,kuwaiti
Kyrgyzstani,kyrgyzstani
Lao,lao
Laotian,laotian
Latvian,latvian
Lebanese,lebanese
Liberian,liberian
Libyan,libyan
Liechtenstein,liechtenstein
Lithuanian,lithuanian
Luxembourgish,luxembourgish
Macedonian,macedonian
Magyar,magyar
Mahoran,mahoran
Malagasy,malagasy
Malawian,malawian
Malaysian,malaysian
Maldivian,maldivian
Malian,malian
Malinese,malinese
Maltese,maltese
Manx,manx
Marshallese,marshallese
Martinican,martinican
Martiniquais,martiniquais
Mauritanian,mauritanian
Mauritian,mauritian
Mexican,mexican
Micronesian,micronesian
Moldovan,moldovan
Monacan,monacan
Mongolian,mongolian
Montenegrin,montenegrin
Montserratian,montserratian
Monégasque,monégasque
Moroccan,moroccan
Motswana,motswana
Mozambican,mozambican
Namibian,namibian
Nauruan,nauruan
Nepalese,nepalese
Nepali,nepali
NewCaledonian,new caledonian
NewZealander,new zealander
Nicaraguan,nicaraguan
Nigerian,nigerian
NorthKorean,north korean
NorthernIrish,northern irish
NorthernMarianan,northern marianan
Norwegian,norwegian
Omani,omani
Pakistani,pakistani
Palauan,palauan
Palestinian,palestinian
Panamanian,panamanian
PapuaNewGuinean,papua new guinean
Papuan,papuan
Paraguayan,paraguayan
Persian,persian
Peruvian,peruvian
Polish,polish
Portuguese,portuguese
PuertoRican,puerto rican
Qatari,qatari
Romanian,romanian
Russian,russian
Rwandan,rwandan
SaintLucian,saint lucian
SaintMartinoise,saint-martinoise
SaintVincentian,saint vincentian
Salvadoran,salvadoran
Sammarinese,sammarinese
Samoan,samoan
Saudi,saudi
SaudiArabian,saudi arabian
Scottish,scottish
Senegalese,senegalese
Serbian,serbian
Seychellois,seychellois
SierraLeonean,sierra leonean
Singaporean,singaporean
Slovak,slovak
Slovenian,slovenian
SolomonIsland,solomon island
Somali,somali
SouthAfrican,south african
SouthAmerican,south american
SouthKorean,south korean
SouthOssetian,south ossetian
SouthSudanese,south sudanese
Spanish,spanish
SriLankan,sri lankan
Sudanese,sudanese
Surinamese,surinamese
Svalbard,svalbard
Swazi,swazi
Swedish,swedish
Swiss,swiss
Syrian,syrian
SãoToméan,são toméan
Tajikistani,tajikistani
Tanzanian,tanzanian
Thai,thai
Timorese,timorese
Tobagonian,tobagonian
Togolese,togolese
Tokelauan,tokelauan
Tongan,tongan
Trinidadian,trinidadian
Tunisian,tunisian
Turkish,turkish
Turkmen,turkmen
Tuvaluan,tuvaluan
Ugandan,ugandan
Ukrainian,ukrainian
Uruguayan,uruguayan
Uzbek,uzbek
Uzbekistani,uzbekistani
Venezuelan,venezuelan
Vietnamese,vietnamese
Welsh,welsh
Yemeni,yemeni
Zambian,zambian
Zimbabwean,zimbabwean
