Value,Synonyms
AfricanGrey,"african greies, african grey"
Alpaca,"alpaca, alpacas"
BetaFish,"beta fish, beta fishes"
Bird,"bird, birds"
Bunny,"bunnies, bunny"
Canary,"canaries, canary"
Carp,"carp, carps"
Cat,"cat, cats"
Chameleon,"chameleon, chameleons"
Chicken,"chicken, chickens"
Cockatiel,"cockatiel, cockatiels"
Cockatoo,"cockatoo, cockatoos"
Cow,"cow, cows"
Dog,"dog, dogs"
Dove,"dove, doves"
Ferret,"ferret, ferrets"
Fish,"fish, fishes"
Frog,"frog, frogs"
Gecko,"gecko, geckos"
Gerbil,"gerbil, gerbils"
Goat,"goat, goats"
Goldfish,"goldfish, goldfishes"
GuineaPig,"guinea pig, guinea pigs"
Hamster,"hamster, hamsters"
Horse,"horse, horses"
Iguana,"iguana, iguanas"
Kitten,"kitten,   kittens,  kitties, kitty"
Lizard,"lizard, lizards"
Llama,"llama, llamas"
Lovebird,"lovebird, lovebirds"
Macaw,"macaw, macaws"
Mouse,"mice, mouse"
Newt,"newt, newts"
Parakeet,"parakeet, parakeets"
Parrot,"parrot, parrots"
Pig,"pig, pigs"
Pigeon,"pigeon, pigeons"
Pony,"ponies, pony"
Pooch,"pooch, pooches"
Puppy,"puppies, puppy"
Rabbit,"rabbit, rabbits"
Rat,"rat, rats"
Salamander,"salamander, salamanders"
Sheep,sheep
Snake,"snake, snakes"
Songbird,"songbird, songbirds"
Tarantula,"tarantula, tarantulas"
Tortoise,"tortoise, tortoises"
Toucan,"toucan, toucans"
TropicalFish,"tropical fish, tropical fishes"
Turtle,"turtle, turtles"
