Value,Synonyms
Airport,"airport, airports"
AmusementPark,"amusement park, amusement parks"
AntiqueShop,"antique shop, antique shops"
ApplianceStore,"appliance store, appliance stores"
Aquarium,"aquaria, aquarium"
Arcade,"arcade, arcades"
Arena,"arena, arenas"
ArmySurplusStore,"army surplus store, army surplus stores"
ArtGallery,"art galleries, art gallery"
ArtMuseum,"art museum, art museums"
Auditorium,"auditoria, auditorium"
Automat,"automat, automats"
Bakery,"bakeries, bakery"
Bank,"bank, banks"
Bar,"bar, bars"
Barbershop,"barbershop, barbershops"
BeautySalon,"beauty salon, beauty salons"
BedAndBreakfast,"bed and breakfast, bed and breakfasts"
Bistro,"bistro, bistros"
Bookstore,"bookstore, bookstores"
Boutique,"boutique, boutiques"
Brasserie,"brasserie, brasseries"
BusStation,"bus station, bus stations"
ButcherShop,"butcher shop, butcher shops"
Cafe,"cafe, cafes"
Cafeteria,cafeteria
CameraStore,"camera store, camera stores"
CandyShop,"candy shop, candy shops"
CapitolBuilding,"capitol building, capitol buildings"
CarDealership,"car dealership, car dealerships"
CarWash,"car wash, car washes"
ChainStore,"chain store, chain stores"
Cinema,"cinema, cinemas"
CityHall,"city hall, city halls"
CivicCenter,"civic center, civic centers"
Clinic,"clinic, clinics"
ClothingStore,"clothing store, clothing stores"
CoffeeShop,"coffee shop, coffee shops"
College,"college, colleges"
CommunityCenter,"community center, community centers"
ConsignmentShop,"consignment shop, consignment shops"
ConvenienceStore,"convenience store, convenience stores"
ConventionCenter,"convention center, convention centers"
CopyShop,"copy shop, copy shops"
Courthouse,"courthouse, courthouses"
DanceStudio,"dance studio, dance studios"
Deli,"deli, delis"
Delicatessen,"delicatessen, delicatessens"
DentistSOffice,"dentist's office, dentist's offices"
DepartmentStore,"department store, department stores"
Diner,"diner, diners"
DiscountStore,"discount store, discount stores"
DoctorSOffice,"doctor's office, doctor's offices"
DollarStore,"dollar store, dollar stores"
Dressmaker,"dressmaker, dressmakers"
DriveInMovie,"drive-in movie, drive-in movies"
DriveThrough,"drive-through, drive-throughs"
Drugstore,"drugstore, drugstores"
ElectronicsStore,"electronics store, electronics stores"
Emporium,"emporia, emporium"
FabricStore,"fabric store, fabric stores"
FactoryOutlet,"factory outlet, factory outlets"
FarmerSMarket,"farmer's market, farmer's markets"
FastFoodRestaurant,"fast food restaurant, fast food restaurants"
FeedStore,"feed store, feed stores"
FireStation,"fire station, fire stations"
FiveAndDimeStore,"five-and-dime store, five-and-dime stores"
FixItShop,"fix-it shop, fix-it shops"
Florist,"florist, florists"
FoodCourt,"food court, food courts"
FuneralHome,"funeral home, funeral homes"
FurnitureStore,"furniture store, furniture stores"
Gallery,"galleries, gallery"
GameStore,"game store, game stores"
GasStation,"gas station, gas stations"
GeneralStore,"general store, general stores"
GiftStore,"gift store, gift stores"
GroceryStore,"grocery store, grocery stores"
Gym,"gym, gyms"
Gymnasium,"gymnasia, gymnasium"
Haberdashery,"haberdasheries, haberdashery"
Hairdresser,"hairdresser, hairdressers"
HardwareStore,"hardware store, hardware stores"
HobbyStore,"hobby store, hobby stores"
HomeImprovementStore,"home improvement store, home improvement stores"
Hotel,"hotel, hotels"
IceCreamShop,"ice cream shop, ice cream shops"
Inn,"inn, inns"
JewelryStore,"jewelry store, jewelry stores"
KioskStore,"kiosk store, kiosk stores"
Library,"libraries, library"
Lighthouse,"lighthouse, lighthouses"
Lumberyard,"lumberyard, lumberyards"
Mall,"mall, malls"
Market,"market, markets"
MeetingHouse,"meeting house, meeting houses"
Milliner,"milliner, milliners"
Motel,"motel, motels"
MovieTheater,"movie theater, movie theaters"
Museum,"museum, museums"
MusicStore,"music store, music stores"
NaturalHistoryMuseum,"natural history museum, natural history museums"
Nursery,"nurseries, nursery"
OfficeBuilding,"office building, office buildings"
Optometrist,"optometrist, optometrists"
OutletStore,"outlet store, outlet stores"
Park,"park, parks"
ParkingGarage,"parking garage, parking garages"
Pawnshop,"pawnshop, pawnshops"
PetStore,"pet store, pet stores"
Pharmacy,"pharmacies, pharmacy"
PizzaPlace,"pizza place, pizza places"
Playground,"playground, playgrounds"
PoliceStation,"police station, police stations"
PostOffice,"post office, post offices"
Pub,"pub, pubs"
PublicGarden,"public garden, public gardens"
QuiltStore,"quilt store, quilt stores"
RealEstateAgency,"real estate agencies, real estate agency"
RepairShop,"repair shop, repair shops"
Restaurant,"restaurant, restaurants"
Retailer,"retailer, retailers"
Salon,"salon, salons"
Saloon,"saloon, saloons"
SandwichShop,"sandwich shop, sandwich shops"
School,"school, schools"
SecondHandStore,"second hand store, second hand stores"
ShoeStore,"shoe store, shoe stores"
Shop,"shop, shops"
ShoppingMall,"shopping mall, shopping malls"
SodaShop,"soda shop, soda shops"
SportingGoodsStore,"sporting goods store, sporting goods stores"
Stadium,"stadia, stadium"
Stationer,"stationer, stationers"
StationeryStore,"stationery store, stationery stores"
Store,"store, stores"
Supermarket,"supermarket, supermarkets"
SurplusStore,"surplus store, surplus stores"
Tailor,"tailor, tailors"
Tavern,"tavern, taverns"
TeaHouse,"tea house, tea houses"
Tearoom,"tearoom, tearooms"
Theater,"theater, theaters"
ThriftStore,"thrift store, thrift stores"
TownHall,"town hall, town halls"
ToyStore,"toy store, toy stores"
TrainStation,"train station, train stations"
TravelAgent,"travel agent, travel agents"
TruckStop,"truck stop, truck stops"
Undertaker,"undertaker, undertakers"
University,"universities, university"
UpholsteryShop,"upholstery shop, upholstery shops"
VideoStore,"video store, video stores"
WaxMuseum,"wax museum, wax museums"
Zoo,"zoo, zoos"
