Value,Synonyms
Amish,amish
Buddhism,buddhism
Christianity,christianity
Confucianism,confucianism
Druidism,druidism
Gnosticism,gnosticism
HareKrishna,hare krishna
Hinduism,hinduism
Islam,islam
JehovahSWitnesses,jehovah's witnesses
Judaism,judaism
Mennonite,mennonite
Mysticism,mysticism
NewAge,new age
Paganism,paganism
Rastafarian,rastafarian
Santería,santería
Satanism,satanism
Scientology,scientology
Shamanism,shamanism
Shinto,shinto
Sikhism,sikhism
Taoism,taoism
UnitarianUniversalism,unitarian-universalism
Unitarianism,unitarianism
Universalism,universalism
Voodoo,voodoo
Wicca,wicca
Zoroastrianism,zoroastrianism
