Value,Synonyms
Amish,amish
Buddhist,buddhist
Christian,christian
Confucian,confucian
Druid,druid
Gnostic,gnostic
HareKrishna,hare krishna
Hindu,hindu
Islamic,islamic
JehovahSWitness,jehovah's witness
JehovahSWitnesses,jehovah's witnesses
Jew,jew
Jewish,jewish
Mennonite,mennonite
Muslim,muslim
Mystic,mystic
Pagan,pagan
Rastafarian,rastafarian
Satanist,satanist
Scientologist,scientologist
Shaman,shaman
Sikh,sikh
Taoist,taoist
Unitarian,unitarian
UnitarianUniversalist,unitarian-universalist
Universalist,universalist
Wiccan,wiccan
Zoroastrian,zoroastrian
