Value,Synonyms
Adder,"adder, adders"
AfricanRockPython,"african rock python, african rock pythons"
Alligator,"alligator, alligators"
AmericanCrocodile,"american crocodile, american crocodiles"
Anaconda,"anaconda, anacondas"
Angonoka,"angonoka, angonokas"
Anole,"anole, anoles"
Asp,"asp, asps"
BeardedDragon,"bearded dragon, bearded dragons"
BlackCaiman,"black caiman, black caimen"
BlackRacer,"black racer, black racers"
BlueTonguedSkink,"blue-tongued skink, blue-tongued skinks"
Boa,"boa, boas"
BoaConstrictor,"boa constrictor, boa constrictors"
BoxTurtle,"box turtle, box turtles"
BullSnake,"bull snake, bull snakes"
Caiman,"caiman, caimen"
Chameleon,"chameleon, chameleons"
Cobra,"cobra, cobras"
CollaredLizard,"collared lizard, collared lizards"
Copperhead,"copperhead, copperheads"
CoralSnake,"coral snake, coral snakes"
CornSnake,"corn snake, corn snakes"
Cottonmouth,"cottonmouth, cottonmouths"
Crocodile,"crocodile, crocodiles"
Cryptoclidus,cryptoclidus
DesertTortoise,"desert tortoise, desert tortoises"
Desmatosuchus,desmatosuchus
Diamondback,"diamondback, diamondbacks"
EmeraldTreeBoa,"emerald tree boa, emerald tree boas"
FrilledLizard,"frilled lizard, frilled lizards"
GaboonViper,"gaboon viper, gaboon vipers"
GalapagosTortoise,"galapagos tortoise, galapagos tortoises"
GarterSnake,"garter snake, garter snakes"
Gavial,"gavial, gavials"
Gecko,"gecko, geckos"
Gharial,"gharial, gharials"
GilaMonster,"gila monster, gila monsters"
GirdledLizard,"girdled lizard, girdled lizards"
GlassLizard,"glass lizard, glass lizards"
GopherSnake,"gopher snake, gopher snakes"
GreenIguana,"green iguana, green iguanas"
GroundSkink,"ground skink, ground skinks"
HornedLizard,"horned lizard, horned lizards"
Iguana,"iguana, iguanas"
IndigoSnake,"indigo snake, indigo snakes"
JamaicanBoa,"jamaican boa, jamaican boas"
KingCobra,"king cobra, king cobras"
Kingsnake,"kingsnake, kingsnakes"
KomodoDragon,"komodo dragon, komodo dragons"
LeatherbackTurtle,"leatherback turtle, leatherback turtles"
Liopleurodon,"liopleurodon, liopleurodons"
Lizard,"lizard, lizards"
LoggerheadTurtle,"loggerhead turtle, loggerhead turtles"
Mamba,"mamba, mambas"
MapTurtle,"map turtle, map turtles"
MonitorLizard,"monitor lizard, monitor lizards"
MountainViper,"mountain viper, mountain vipers"
MudSnake,"mud snake, mud snakes"
MudTurtle,"mud turtle, mud turtles"
MuskTurtle,"musk turtle, musk turtles"
NileCrocodile,"nile crocodile, nile crocodiles"
OsageCopperhead,"osage copperhead, osage copperheads"
PaintedTurtle,"painted turtle, painted turtles"
PineSnake,"pine snake, pine snakes"
PitViper,"pit viper, pit vipers"
PloughshareTortoise,"ploughshare tortoise, ploughshare tortoises"
Postosuchus,postosuchus
Python,"python, pythons"
RacerSnake,"racer snake, racer snakes"
RatSnake,"rat snake, rat snakes"
Rattlesnake,"rattlesnake, rattlesnakes"
RibbonSnake,"ribbon snake, ribbon snakes"
RingneckSnake,"ringneck snake, ringneck snakes"
SeaTurtle,"sea turtle, sea turtles"
Skink,"skink, skinks"
SlowWorm,"slow worm, slow worms"
Snake,"snake, snakes"
SnappingTurtle,"snapping turtle, snapping turtles"
SoftshellTurtle,"softshell turtle, softshell turtles"
SpectacledCaiman,"spectacled caiman, spectacled caimen"
SpinyLizard,"spiny lizard, spiny lizards"
Taipan,"taipan, taipans"
TimberRattler,"timber rattler, timber rattlers"
Tortoise,"tortoise, tortoises"
Tuatara,"tuatara, tuataras"
Turtle,"turtle, turtles"
TwigSnake,"twig snake, twig snakes"
VeiledChameleon,"veiled chameleon, veiled chameleons"
Viper,"viper, vipers"
WaterMoccasin,"water moccasin, water moccasins"
WaterTurtle,"water turtle, water turtles"
Whipsnake,"whipsnake, whipsnakes"
WhiptailLizard,"whiptail lizard, whiptail lizards"
YellowFootTortoise,"yellow-foot tortoise, yellow-foot tortoises"
