Value,Synonyms
Attic,"attic, attics"
Backyard,"backyard, backyards"
Basement,"basement, basements"
Bathroom,"bathroom, bathrooms"
Bedroom,"bedroom, bedrooms"
Carport,"carport, carports"
Cellar,"cellar, cellars"
Closet,"closet, closets"
DiningRoom,"dining room, dining rooms"
Driveway,"driveway, driveways"
Eaves,eaves
Entrance,"entrance, entrances"
Entry,"entries, entry"
Entryway,"entryway, entryways"
FamilyRoom,"family room, family rooms"
FencedYard,"fenced yard, fenced yards"
Garage,"garage, garages"
Garden,"garden, gardens"
GardenShed,"garden shed, garden sheds"
Greenhouse,"greenhouse, greenhouses"
Hall,"hall, halls"
HallCloset,"hall closet, hall closets"
Hallway,"hallway, hallways"
Kitchen,"kitchen, kitchens"
LaundryRoom,"laundry room, laundry rooms"
LinenCloset,"linen closet, linen closets"
LivingRoom,"living room, living rooms"
Loft,"loft, lofts"
Nook,"nook, nooks"
Nursery,"nurseries, nursery"
Pantry,"pantries, pantry"
Patio,"patio, patios"
Pool,"pool, pools"
Porch,"porch, porches"
Portico,"portico, porticos"
RecRoom,"rec room, rec rooms"
RecreationRoom,"recreation room, recreation rooms"
Roof,"roof, roofs"
Shed,"shed, sheds"
Shower,"shower, showers"
StorageShed,"storage shed, storage sheds"
SwimmingPool,"swimming pool, swimming pools"
Yard,"yard, yards"
