Value,Synonyms
Accounting,accounting
Algebra,algebra
AmericanHistory,american history
AnimalScience,animal science
Anthropology,anthropology
Archaeology,archaeology
ArtAppreciation,art appreciation
ArtClass,art class
ArtHistory,art history
Astronomy,astronomy
Biology,biology
Botany,botany
BritishLiterature,british literature
BusinessMath,business math
BusinessTechnology,business technology
Calculus,calculus
Chemistry,chemistry
ChineseClass,chinese class
Civics,civics
ComputerScience,computer science
CreativeWriting,creative writing
DanceClass,dance class
DebateClass,debate class
Drafting,drafting
DramaClass,drama class
DriverEd,driver ed
DriverEducation,driver education
DriversEd,drivers ed
DriversEducation,drivers education
EarthScience,earth science
Ecology,ecology
Economics,economics
EnglishAsASecondLanguage,english as a second language
EnglishClass,english class
EnvironmentalScience,environmental science
Esl,esl
FilmAsLiterature,film as literature
FilmClass,film class
FilmProduction,film production
FoodScience,food science
ForensicScience,forensic science
FrenchClass,french class
Geography,geography
Geology,geology
Geometry,geometry
GermanClass,german class
GovernmentClass,government class
Grammar,grammar
GreekAndRomanHistory,greek and roman history
GreekClass,greek class
GreekHistory,greek history
GymClass,gym class
HealthClass,health class
HebrewClass,hebrew class
History,history
HomeEc,home ec
HomeEconomics,home economics
JapaneseClass,japanese class
Journalism,journalism
LanguageArts,language arts
Latin,latin
LifeScience,life science
LiteratureClass,literature class
Logic,logic
MarchingBand,marching band
MarineBiology,marine biology
Math,"maths,  math, mathematics"
MedievalHistory,medieval history
MedievalLiterature,medieval literature
MetalShop,metal shop
Meteorology,meteorology
ModernLiterature,modern literature
MusicAppreciation,music appreciation
MusicClass,music class
MusicTheory,music theory
NutritionClass,nutrition class
OccupationalTherapy,occupational therapy
Oceanography,oceanography
Orchestra,orchestra
OrganicChemistry,organic chemistry
PE,p.e.
PaintingClass,painting class
Philosophy,philosophy
Photography,photography
Photojournalism,photojournalism
PhysEd,phys ed
PhysicalEducation,physical education
PhysicalScience,physical science
Physics,physics
PoetryClass,poetry class
PoliticalScience,political science
Pottery,pottery
PreAlgebra,pre-algebra
Precalculus,precalculus
PsychologyClass,psychology class
ReadingClass,reading class
RenaissanceLiterature,renaissance literature
RomanHistory,roman history
ScienceClass,science class
SignLanguage,sign language
SocialSciences,social sciences
SocialStudies,social studies
Sociology,sociology
SpanishClass,spanish class
SpeechClass,speech class
Statistics,statistics
TheatreArts,theatre arts
Trigonometry,trigonometry
USGovernment,u.s. government
USHistory,u.s. history
VeterinaryScience,veterinary science
Vocabulary,vocabulary
VoiceClass,voice class
Woodshop,woodshop
WorldGeography,world geography
WorldHistory,world history
WorldLiterature,world literature
WorldReligions,world religions
WritingClass,writing class
Zoology,zoology
science,science
