Value,Synonyms
Anchovy,"anchovies, anchovy"
Caviar,"caviar, caviars"
Clam,"clam, clams"
Cod,"cod, cods"
Crab,"crab, crabs"
Crawdad,"crawdad, crawdads"
Crayfish,"crayfish, crayfishes"
Fish,fish
FishStick,"fish stick, fish sticks"
FriedClam,"fried clam, fried clams"
Haddock,"haddock, haddocks"
Herring,"herring, herrings"
Lobster,"lobster, lobsters"
Mackerel,"mackerel, mackerels"
Mussel,"mussel, mussels"
Oyster,"oyster, oysters"
Salmon,"salmon, salmons"
Sardine,"sardine, sardines"
Scallop,"scallop, scallops"
Shrimp,"shrimp, shrimps"
SmokedSalmon,"smoked salmon, smoked salmons"
Sole,"sole, soles"
Steamer,"steamer, steamers"
Trout,"trout, trouts"
Tuna,"tuna, tunas"
