Value,Synonyms
Abalone,"abalone, abalones"
Anemone,"anemone, anemones"
Barnacle,"barnacle, barnacles"
Bivalve,"bivalve, bivalves"
Clam,"clam, clams"
Conch,"conch, conches"
Coral,"coral, corals"
Crab,"crab, crabs"
Crawdad,"crawdad, crawdads"
Crayfish,"crayfish, crayfishes"
Crustacean,"crustacean, crustaceans"
Gastropod,"gastropod, gastropods"
GiantSquid,"giant squid, giant squids"
HermitCrab,"hermit crab, hermit crabs"
Isopod,"isopod, isopods"
Jellyfish,"jellyfish, jellyfishes"
Krill,"krill, krills"
Lobster,"lobster, lobsters"
Mollusk,"mollusk, mollusks"
Mussel,"mussel, mussels"
Octopus,"octopi, octopus"
Oyster,"oyster, oysters"
Plankton,"plankton, planktons"
Prawn,"prawn, prawns"
Quahog,"quahog, quahogs"
SeaAnemone,"sea anemone, sea anemones"
SeaCucumber,"sea cucumber, sea cucumbers"
SeaHorse,"sea horse, sea horses"
SeaSlug,"sea slug, sea slugs"
SeaSnail,"sea snail, sea snails"
SeaSnake,"sea snake, sea snakes"
SeaSponge,"sea sponge, sea sponges"
SeaUrchin,"sea urchin, sea urchins"
Shrimp,"shrimp, shrimps"
Sponge,"sponge, sponges"
Squid,"squid, squids"
Starfish,"starfish, starfishes"
Stingray,"stingray, stingrays"
TubeWorms,tube worms
TunShell,"tun shell, tun shells"
UmbrellaShell,"umbrella shell, umbrella shells"
Urchin,"urchin, urchins"
VampireSquid,"vampire squid, vampire squids"
VelvetCrab,"velvet crab, velvet crabs"
VioletSeaSnail,"violet sea snail, violet sea snails"
Zooplankton,"zooplankton, zooplanktons"
