Value,Synonyms
AcuteTriangle,"acute triangle, acute triangles"
Annulus,annulus
Arc,"arc, arcs"
Asymmetry,"asymmetries, asymmetry"
Bipyramid,"bipyramid, bipyramids"
Cardioid,"cardioid, cardioids"
Circle,"circle, circles"
ConcavePolygon,"concave polygon, concave polygons"
ConvexPolygon,"convex polygon, convex polygons"
Crescent,"crescent, crescents"
Cube,"cube, cubes"
Cuboid,"cuboid, cuboids"
Curve,"curve, curves"
Cylinder,"cylinder, cylinders"
Decagon,"decagon, decagons"
Dodecahedron,"dodecahedron, dodecahedrons"
Ellipse,"ellipse, ellipses"
Ellipsoid,"ellipsoid, ellipsoids"
EquilateralTriangle,"equilateral triangle, equilateral triangles"
Gnomon,"gnomon, gnomons"
Helix,"helix, helixes"
Heptagon,"heptagon, heptagons"
Hexaflexagon,"hexaflexagon, hexaflexagons"
Hexagon,"hexagon, hexagons"
HexagonalPrism,"hexagonal prism, hexagonal prisms"
Hexahedron,"hexahedron, hexahedrons"
Hyperboloid,"hyperboloid, hyperboloids"
Hypersphere,"hypersphere, hyperspheres"
Icosahedron,"icosahedron, icosahedrons"
IsoscelesTriangle,"isosceles triangle, isosceles triangles"
LineSegment,"line segment, line segments"
MöbiusStrip,"möbius strip, möbius strips"
Nonagon,"nonagon, nonagons"
ObtuseTriangle,"obtuse triangle, obtuse triangles"
Octagon,"octagon, octagons"
Octahedron,"octahedron, octahedrons"
Oval,"oval, ovals"
Paraboloid,"paraboloid, paraboloids"
Parallelepiped,"parallelepiped, parallelepipeds"
Parallelogram,"parallelogram, parallelograms"
Pentagon,"pentagon, pentagons"
PlatonicSolid,"platonic solid, platonic solids"
Polygon,"polygon, polygons"
Polyhedra,"polyhedra, polyhedras"
Prism,"prism, prisms"
Quadrilateral,"quadrilateral, quadrilaterals"
Rectangle,"rectangle, rectangles"
RegularPolygon,"regular polygon, regular polygons"
RegularPolyhedra,"regular polyhedra, regular polyhedras"
Rhombus,"rhombus, rhombuses"
RightTriangle,"right triangle, right triangles"
ScaleneTriangle,"scalene triangle, scalene triangles"
Semicircle,"semicircle, semicircles"
Sphere,"sphere, spheres"
Spheroid,"spheroid, spheroids"
Square,"square, squares"
Symmetry,"symmetries, symmetry"
Tesseract,"tesseract, tesseracts"
Tetrahedron,"tetrahedron, tetrahedrons"
Torus,torus
Trapezium,"trapezia, trapezium"
Trapezoid,"trapezoid, trapezoids"
Triangle,"triangle, triangles"
Wedge,"wedge, wedges"
