Value,Synonyms
Dreidel,"dreidel, dreidel song"
FelizNavidad,feliz navidad
FrostySnowman,"frosty snowman,   frosty snowmen,  frosty the snowman, frosty the snowmen"
HaveYourselfMerryChristmas,have yourself a merry little christmas
HollyJollyChristmas,"a holly jolly christmas, holly jolly christmas"
JingleBells,"jingle bell, jingle bells"
JoyToTheWorld,joy to the world
LetItSnow,let it snow
OhHolyNight,oh holy night
RockingAroundChristmasTree,"rockin around the christmas tree, rocking around the christmas tree"
Rudolph,"rudolph the red nose reindeer,  rudolph the red nosed reindeer, rudolph"
SantaBaby,santa baby
SantaClausIsComingToTown,"santa claus coming to town,   santa claus is coming to town,  santa coming to town, santa is coming to town"
SilentNight,silent night
SilverBells,"silver bells, silver bells"
WhiteChristmas,white christmas
WinterWonderland,winter wonderland
WishYouAMerryChristmas,we wish you a merry christmas
