Value,Synonyms
Aerobics,aerobics
AlpineSkiing,alpine skiing
AmericanFootball,"nfl, american football"
Archery,archery
Athletics,athletics
AussieFootball,aussie football
AustralianFootball,australian football
AustralianRulesFootball,australian rules football
Badminton,badminton
Baseball,"major league baseball, minor league baseball, baseball"
Basketball,basketball
Biathlon,biathlon
Bicycling,bicycling
Biking,biking
Billiards,billiards
Bobsledding,"bobsledding, bobsled, bobsleds, bob sledding, bob sled, bob sleds"
Bocce,bocce
Bowling,bowling
Boxing,boxing
Canoeing,canoeing
Crew,crew
Cricket,cricket
Croquet,croquet
CrossCountry,cross country
CrossCountryRunning,cross country running
CrossCountrySkiing,cross country skiing
Curling,curling
Cycling,cycling
Deadlifting,deadlifting
Decathlon,decathlon
Discus,discus
Diving,diving
Dodgeball,dodgeball
DownhillSkiing,downhill skiing
Equestrian,equestrian
Fencing,fencing
FieldHockey,field hockey
FigureSkating,"figure skating, to figure skate, going figure skating, ice skating, to ice skate, going ice skating"
Fitness,fitness
Football,football
Frisbee,frisbee
Golf,golf
Golfing,golfing
Gymnastics,gymnastics
HammerThrow,hammer throw
Handball,handball
HangGliding,hang gliding
Heptathlon,heptathlon
HighJump,high jump
Hockey,hockey
Horseshoe,horseshoe
Hurdles,hurdles
IceHockey,"ice hockey, nhl hockey, olympic hockey"
IceSkating,ice skating
JaiAlai,jai-alai
Javelin,javelin
Jogging,jogging
Judo,judo
JumpRope,jump rope
JumpRoping,jump roping
Jumping,jumping
JumpingRope,jumping rope
Karate,karate
Kayaking,kayaking
Kickball,kickball
KungFu,kung fu
Lacrosse,lacrosse
LawnBowling,lawn bowling
LongJump,long jump
Luge,luge
MartialArts,martial arts
NordicSkiing,nordic skiing
Orienteering,orienteering
Paddleball,paddleball
Paddling,paddling
Paintball,paintball
Parasailing,parasailing
Parkour,parkour
Pentathlon,pentathlon
Pickleball,pickleball
PingPong,ping pong
PoleVault,pole vault
Polo,polo
Racewalking,racewalking
Racing,racing
Racquetball,racquetball
Rafting,rafting
Riding,riding
RockClimbing,rock climbing
RollerSkating,roller skating
Rowing,rowing
Rugby,rugby
Running,running
Sailing,sailing
Sculling,sculling
ShotPut,shot put
Skateboarding,skateboarding
Skating,skating
Skiing,skiing
Slalom,slalom
Sledding,sledding
Snorkling,snorkling
Snowboarding,snowboarding
Snowshoeing,snowshoeing
Soccer,soccer
Softball,softball
SpeedSkating,speed skating
Squash,squash
SumoWrestling,sumo wrestling
Surfing,surfing
Swimming,swimming
SynchronizedSwimming,synchronized swimming
TableTennis,table tennis
Taekwondo,taekwondo
TelemarkSkiing,telemark skiing
Tennis,tennis
Tetherball,tetherball
Throwing,throwing
Tobogganing,tobogganing
TrackAndField,track and field
Triathlon,triathlon
TripleJump,triple jump
Ultimate,ultimate
UltimateFrisbee,ultimate frisbee
Ultramarathon,ultramarathon
Unicycling,unicycling
Vaulting,vaulting
VolleyBall,volley ball
Wakeboarding,wakeboarding
Walking,walking
WaterPolo,water polo
Waterskiing,waterskiing
Weightlifting,weightlifting
WhiteWaterRafting,white water rafting
Wicket,wicket
Windsurfing,windsurfing
WorldCup,world cup
WorldSeries,world series
Wrestling,wrestling
SkiJump,"ski jump, ski jumping, ski jumps"
