Value,Synonyms
AppleCrisp,"apple crisp, apple crisps"
ApplePie,"apple pie, apple pies"
AppleTurnover,"apple turnover, apple turnovers"
BananaSplit,"banana split, banana splits"
BlueberryPie,"blueberry pie, blueberry pies"
Brownie,"brownie, brownies"
Butterscotch,"butterscotch, butterscotches"
Cake,"cake, cakes"
Candy,"candies, candy"
CandyCane,"candy cane, candy canes, candycanes, candycane"
CarrotCake,"carrot cake, carrot cakes"
Cheesecake,"cheesecake, cheesecakes"
CherryPie,"cherry pie, cherry pies"
Chocolate,"chocolate, chocolates"
ChocolateBar,"chocolate bar, chocolate bars"
ChocolateCake,"chocolate cake, chocolate cakes"
ChocolateChipCookie,"chocolate chip cookie, chocolate chip cookies"
ChocolateMousse,"chocolate mousse, chocolate mousses"
ChocolatePudding,"chocolate pudding, chocolate puddings"
Churro,"churro, churros"
CinnamonRoll,"cinnamon roll, cinnamon rolls"
Cobbler,"cobbler, cobblers"
CoconutCake,"coconut cake, coconut cakes"
CoconutCreamPie,"coconut cream pie, coconut cream pies"
CoffeeCake,"coffee cake, coffee cakes"
Cookie,"cookie, cookies"
Cupcake,"cupcake, cupcakes"
Custard,"custard, custards"
DevilSFoodCake,"devil's food cake, devil's food cakes"
Eclair,"eclair, eclairs"
Flan,"flan, flans"
FrozenYogurt,"frozen yogurt, frozen yogurts"
FruitCake,"fruit cake, fruit cakes"
Fudge,"fudge, fudges"
Gelato,"gelato, gelatos"
Gingerbread,"gingerbread, gingerbreads"
Gingersnap,"gingersnap, gingersnaps"
HotFudgeSundae,"hot-fudge sundae, hot-fudge sundaes"
IceCream,"ice cream, ice creams"
IceCreamCake,"ice cream cake, ice cream cakes"
KeyLimePie,"key lime pie, key lime pies"
Ladyfinger,"ladyfinger, ladyfingers"
LemonBar,"lemon bar, lemon bars"
LemonMeringuePie,"lemon meringue pie, lemon meringue pies"
Macaroon,"macaroon, macaroons"
Marshmallow,"marshmallow, marshmallows"
Meringue,"meringue, meringues"
Milkshake,"milkshake, milkshakes"
Molasses,molasses
Mousse,"mousse, mousses"
Nougat,"nougat, nougats"
NutBrittle,"nut brittle, nut brittles"
OatmealCookie,"oatmeal cookie, oatmeal cookies"
PeanutBrittle,"peanut brittle, peanut brittles"
PeanutbutterCookie,"peanutbutter cookie, peanutbutter cookies"
PecanPie,"pecan pie, pecan pies"
Pie,"pie, pies"
Popover,"popover, popovers"
Popsicle,"popsicle, popsicles"
PoundCake,"pound cake, pound cakes"
Praline,"praline, pralines"
Pudding,"pudding, puddings"
PumpkinPie,"pumpkin pie, pumpkin pies"
RedVelvetCake,"red velvet cake, red velvet cakes"
RhubarbPie,"rhubarb pie, rhubarb pies"
RicePudding,"rice pudding, rice puddings"
RootBeerFloat,"root beer float, root beer floats"
SMore,"s'more, s'mores"
Sherbet,"sherbet, sherbets"
Shortbread,"shortbread, shortbreads"
Snickerdoodle,"snickerdoodle, snickerdoodles"
Sorbet,"sorbet, sorbets"
SpongeCake,"sponge cake, sponge cakes"
StrawberryShortcake,"strawberry shortcake, strawberry shortcakes"
Strudel,"strudel, strudels"
SugarCookie,"sugar cookie, sugar cookies"
Sundae,"sundae, sundaes"
SweetPotatoPie,"sweet potato pie, sweet potato pies"
SweetRoll,"sweet roll, sweet rolls"
TapiocaPudding,"tapioca pudding, tapioca puddings"
Tart,"tart, tarts"
Toffee,"toffee, toffees"
Torte,"torte, tortes"
VanillaPudding,"vanilla pudding, vanilla puddings"
