Value,Synonyms
Anorak,"anorak, anoraks"
Apparel,"apparel, apparels"
Apron,"apron, aprons"
AscotTie,"ascot tie, ascot ties"
Balaclava,"balaclava, balaclavas"
BallGown,"ball gown, ball gowns"
Bandana,"bandana, bandanas"
BaseballCap,"baseball cap, baseball caps"
BaseballHat,"baseball hat, baseball hats"
BathingSuit,"bathing suit, bathing suits"
Battledress,"battledress, battledresses"
Beanie,"beanie, beanies"
Bedclothes,"bedclothes, bedclotheses"
BellBottom,"bell-bottom, bell-bottoms"
Belt,"belt, belts"
Beret,"beret, berets"
BermudaShorts,"bermuda shorts, bermuda shortses"
Bib,"bib, bibs"
Bikini,"bikini, bikinis"
Blazer,"blazer, blazers"
Bloomer,"bloomer, bloomers"
Blouse,"blouse, blouses"
Boa,"boa, boas"
Bonnet,"bonnet, bonnets"
Boot,"boot, boots"
Bow,"bow, bows"
BowTie,"bow tie, bow ties"
Boxers,"boxer shorts, boxers"
Bra,"bra, bras"
Brassiere,"brassiere, brassieres"
Cap,"cap, caps"
Chemise,"chemise, chemises"
ChristmasSweater,"christmas sweater, christmas sweaters"
Cloak,"cloak, cloaks"
Clogs,clogs
Clothes,clothes
Clothing,clothing
Coat,"coat, coats"
Collar,"collar, collars"
Corset,"corset, corsets"
Costume,"costume, costumes"
Coveralls,coveralls
CowboyBoots,"cowboy boot, cowboy boots"
CowboyHat,"cowboy hat, cowboy hats"
Cravat,"cravat, cravats"
Crown,"crown, crowns"
Cuff,"cuff, cuffs"
CuffLink,"cuff link, cuff links"
Cummerbund,"cummerbund, cummerbunds"
Dashiki,"dashiki, dashikis"
Diaper,"diaper, diapers"
DinnerJacket,"dinner jacket, dinner jackets"
Dirndl,"dirndl, dirndls"
Drawers,"drawers, drawerses"
Dress,"dress, dresses"
DressShirt,"dress shirt, dress shirts"
Duds,duds
Dungarees,dungarees
Earmuff,"earmuff, earmuffs"
Earring,"earring, earrings"
EveningGown,"evening gown, evening gowns"
Fatigues,fatigues
Fedora,"fedora, fedoras"
Fez,"fez, fezs"
FlakJacket,"flak jacket, flak jackets"
FlannelNightgown,"flannel nightgown, flannel nightgowns"
FlannelShirt,"flannel shirt, flannel shirts"
FlipFlop,"flip-flop, flip-flops"
FormalWear,"formal wear, formal wears"
Frock,"frock, frocks"
FurCoat,"fur coat, fur coats"
Galoshes,galoshes
Garb,"garb, garbs"
Garters,"garters, garterses"
Getup,"getup, getups"
Girdle,"girdle, girdles"
Glasses,"glasses, glasseses"
Glove,"glove, gloves"
Gown,"gown, gowns"
HairElastic,"hair elastic, hair elastics"
HalterTop,"halter top, halter tops"
Handbag,"handbag, handbags"
