Value,Synonyms
Adze,adze
AllenWrench,allen wrench
Anvil,anvil
Axe,axe
Bellows,bellows
Bevel,bevel
BlockAndTackle,block and tackle
BlockPlane,block plane
Bolt,bolt
BoltCutter,bolt cutter
Caliper,caliper
Chisel,chisel
CircularSaw,circular saw
Clamp,clamp
Clippers,clippers
CopingSaw,coping saw
Countersink,countersink
Crowbar,crowbar
Cutter,cutter
Drill,drill
DrillBit,drill bit
DrillPress,drill press
Edger,edger
ElectricDrill,electric drill
Fastener,fastener
GlassCutter,glass cutter
Glue,glue
GlueGun,glue gun
Grinder,grinder
Hacksaw,hacksaw
Hammer,hammer
Handsaw,handsaw
HexWrench,hex wrench
Hoe,hoe
Hone,hone
Jig,jig
Jigsaw,jigsaw
Ladder,ladder
Lathe,lathe
Level,level
Mallet,mallet
MeasuringTape,measuring tape
MiterBox,miter box
MonkeyWrench,monkey wrench
Nail,nail
NailSet,nail set
NeedleNosePlier,needle-nose plier
PhillipsScrewdriver,phillips screwdriver
Pickaxe,pickaxe
Pin,pin
Pincer,pincer
Pitchfork,pitchfork
Pliers,pliers
Plow,plow
PlumbBob,plumb bob
PruningShear,pruning shear
PryBar,pry bar
Pulley,pulley
PuttyKnife,putty knife
PuttyKnives,putty knives
Rasp,rasp
Ratchet,ratchet
Razor,razor
Reamer,reamer
Rivet,rivet
Roller,roller
Rope,rope
Ruler,ruler
SafetyGlasses,safety glasses
SandPaper,sand paper
Sander,sander
Saw,saw
Sawhorse,sawhorse
Scalpel,scalpel
Scissor,scissor
Scraper,scraper
Screw,screw
Screwdriver,screwdriver
Scythe,scythe
Sharpener,sharpener
Shovel,shovel
Sickle,sickle
Snips,snips
Spade,spade
Spear,spear
Squeegee,squeegee
Staple,staple
Stapler,stapler
Tack,tack
Tiller,tiller
Toolbox,toolbox
Toolmaker,toolmaker
Trowel,trowel
UtilityKnife,utility knife
UtilityKnives,utility knives
Vise,vise
Wedge,wedge
Workbench,workbench
Wrench,wrench
