Value,Synonyms
AlmondTree,"almond tree, almond trees"
AppleTree,"apple tree, apple trees"
ApricotTree,"apricot tree, apricot trees"
AshTree,"ash tree, ash trees"
Aspen,"aspen, aspens"
Banyan,"banyan, banyans"
Baobob,"baobob, baobobs"
BeechTree,"beech tree, beech trees"
BigtoothAspen,"bigtooth aspen, bigtooth aspens"
Birch,"birch, birches"
BlackAsh,"black ash, black ashes"
BlackWillow,"black willow, black willows"
Bodhi,"bodhi, bodhis"
BristleconePine,"bristlecone pine, bristlecone pines"
Buckeye,"buckeye, buckeyes"
Butternut,"butternut, butternuts"
CabbagePalmetto,"cabbage palmetto, cabbage palmettos"
Camellia,camellia
Catalpa,"catalpa, catalpas"
CedarTree,"cedar tree, cedar trees"
CherryTree,"cherry tree, cherry trees"
ChestnutTree,"chestnut tree, chestnut trees"
ChokeCherry,"choke cherries, choke cherry"
CoconutPalm,"coconut palm, coconut palms"
Cottonwood,"cottonwood, cottonwoods"
CrabappleTree,"crabapple tree, crabapple trees"
CrapeMyrtle,"crape myrtle, crape myrtles"
Cypress,"cypress, cypresses"
DateTree,"date tree, date trees"
Dogwood,"dogwood, dogwoods"
DouglasFir,"douglas fir, douglas firs"
Elderberry,"elderberries, elderberry"
Elm,"elm, elms"
Eucalyptus,eucalyptus
Evergreen,"evergreen, evergreens"
FigTree,"fig tree, fig trees"
Filbert,"filbert, filberts"
FirTree,"fir tree, fir trees"
FlameTree,"flame tree, flame trees"
Ginkgo,"ginkgo, ginkgos"
Goldenlarch,"goldenlarch, goldenlarches"
GrapefruitTree,"grapefruit tree, grapefruit trees"
Hackberry,"hackberries, hackberry"
Haw,"haw, haws"
Hawthorn,"hawthorn, hawthorns"
Hemlock,"hemlock, hemlocks"
Hickory,"hickories, hickory"
HollyTree,"holly tree, holly trees"
Honeylocust,"honeylocust, honeylocusts"
Ipil,"ipil, ipils"
Ironwood,"ironwood, ironwoods"
JackPine,"jack pine, jack pines"
Jacktree,"jacktree, jacktrees"
JapaneseMaple,"japanese maple, japanese maples"
Jujuba,"jujuba, jujubas"
JuniperTree,"juniper tree, juniper trees"
KapokTree,"kapok tree, kapok trees"
Katsura,"katsura, katsuras"
KukuiNut,"kukui nut, kukui nuts"
KumquatTree,"kumquat tree, kumquat trees"
Larch,"larch, larches"
Linden,"linden, lindens"
LiveOak,"live oak, live oaks"
LoblollyPine,"loblolly pine, loblolly pines"
LocustTree,"locust tree, locust trees"
LonePine,"lone pine, lone pines"
LongleafPine,"longleaf pine, longleaf pines"
Loquat,"loquat, loquats"
MagnoliaTree,"magnolia tree, magnolia trees"
MahoganyTree,"mahogany tree, mahogany trees"
Mangrove,"mangrove, mangroves"
MapleTree,"maple tree, maple trees"
Mimosa,"mimosa, mimosas"
Mountainash,"mountainash, mountainashes"
NectarineTree,"nectarine tree, nectarine trees"
NorthernRedOak,"northern red oak, northern red oaks"
NorwayMaple,"norway maple, norway maples"
OakTree,"oak tree, oak trees"
OliveTree,"olive tree, olive trees"
OrangeTree,"orange tree, orange trees"
PalmTree,"palm tree, palm trees"
Palmetto,"palmetto, palmettos"
PaperBirch,"paper birch, paper birches"
Pawpaw,"pawpaw, pawpaws"
PeachTree,"peach tree, peach trees"
PearTree,"pear tree, pear trees"
PecanTree,"pecan tree, pecan trees"
Persimmon,"persimmon, persimmons"
PineTree,"pine tree, pine trees"
PlumTree,"plum tree, plum trees"
Poplar,"poplar, poplars"
QuakingAspen,"quaking aspen, quaking aspens"
Quince,"quince, quinces"
Redbud,"redbud, redbuds"
Redwood,"redwood, redwoods"
RubberTree,"rubber tree, rubber trees"
SassafrasTree,"sassafras tree, sassafras trees"
ScotchPine,"scotch pine, scotch pines"
Sequoia,sequoia
Serviceberry,"serviceberries, serviceberry"
SilverMaple,"silver maple, silver maples"
SitkaSpruce,"sitka spruce, sitka spruces"
SlipperyElm,"slippery elm, slippery elms"
Spruce,"spruce, spruces"
SugarMaple,"sugar maple, sugar maples"
Sweetgum,"sweetgum, sweetgums"
Sycamore,"sycamore, sycamores"
Teak,"teak, teaks"
TulipTree,"tulip-tree, tulip-trees"
Tupelo,"tupelo, tupelos"
UprightRedMaple,"upright red maple, upright red maples"
Viburnum,"viburnum, viburnums"
WalnutTree,"walnut tree, walnut trees"
WeepingWillow,"weeping willow, weeping willows"
WhiteAsh,"white ash, white ashes"
WhiteOak,"white oak, white oaks"
WhitePine,"white pine, white pines"
WillowTree,"willow tree, willow trees"
WingnutTree,"wingnut tree, wingnut trees"
WitchhazelTree,"witchhazel tree, witchhazel trees"
Yellowwood,"yellowwood, yellowwoods"
Yew,"yew, yews"
Zebrawood,"zebrawood, zebrawoods"
Zelkova,"zelkova, zelkovas"
