Value,Synonyms
AerialTramway,"aerial tramway, aerial tramways"
Aircraft,"aircraft, aircrafts"
AircraftCarrier,"aircraft carrier, aircraft carriers"
Airplane,"airplane, airplanes"
Ambulance,"ambulance, ambulances"
AmphibiousVehicle,"amphibious vehicle, amphibious vehicles"
ArmoredCar,"armored car, armored cars"
Automobile,"automobile, automobiles"
BabyCarriage,"baby carriage, baby carriages"
Balloon,"balloon, balloons"
Barge,"barge, barges"
Barrow,"barrow, barrows"
Bathyscaphe,"bathyscaphe, bathyscaphes"
Battleship,"battleship, battleships"
Bicycle,"bicycle, bicycles"
Bike,"bike, bikes"
Biplane,"biplane, biplanes"
Blimp,"blimp, blimps"
Boat,"boat, boats"
Bobsled,"bobsled, bobsleds"
Boxcar,"boxcar, boxcars"
Broomstick,"broomstick, broomsticks"
Buggy,"buggies, buggy"
Bulldozer,"bulldozer, bulldozers"
BulletTrain,"bullet train, bullet trains"
Bus,"bus, buses"
Cab,"cab, cabs"
CabinCruiser,"cabin cruiser, cabin cruisers"
CableCar,"cable car, cable cars"
Caboose,"caboose, cabooses"
Camper,"camper, campers"
Canoe,"canoe, canoes"
Car,"car, cars"
Caravan,"caravan, caravans"
Caravel,"caravel, caravels"
CargoShip,"cargo ship, cargo ships"
Carriage,"carriage, carriages"
Carrier,"carrier, carriers"
Cart,"cart, carts"
Catamaran,"catamaran, catamarans"
Chairlift,"chairlift, chairlifts"
Chariot,"chariot, chariots"
Chopper,"chopper, choppers"
ClipperShip,"clipper ship, clipper ships"
Clunker,"clunker, clunkers"
Coach,"coach, coaches"
Combine,"combine, combines"
CompactCar,"compact car, compact cars"
ConestogaWagon,"conestoga wagon, conestoga wagons"
ContainerShip,"container ship, container ships"
Convertible,"convertible, convertibles"
Convoy,"convoy, convoys"
Coupe,"coupe, coupes"
CoveredWagon,"covered wagon, covered wagons"
CropDuster,"crop duster, crop dusters"
CruiseShip,"cruise ship, cruise ships"
Cruiser,"cruiser, cruisers"
Cutter,"cutter, cutters"
Cycle,"cycle, cycles"
DeliveryTruck,"delivery truck, delivery trucks"
DeliveryVan,"delivery van, delivery vans"
Destroyer,"destroyer, destroyers"
DieselTruck,"diesel truck, diesel trucks"
Dinghy,"dinghies, dinghy"
Dirigible,"dirigible, dirigibles"
DirtBike,"dirt bike, dirt bikes"
DivingBell,"diving bell, diving bells"
DogCart,"dog cart, dog carts"
Dogsled,"dogsled, dogsleds"
DonkeyCart,"donkey cart, donkey carts"
Dray,"dray, drays"
DugoutCanoe,"dugout canoe, dugout canoes"
DumpTruck,"dump truck, dump trucks"
EarthMover,"earth mover, earth movers"
EighteenWheeler,"eighteen-wheeler, eighteen-wheelers"
ElectricCar,"electric car, electric cars"
ElevatedRailroad,"elevated railroad, elevated railroads"
Elevator,"elevator, elevators"
Escalator,"escalator, escalators"
ExpressTrain,"express train, express trains"
Ferry,"ferries, ferry"
FireEngine,"fire engine, fire engines"
Fireboat,"fireboat, fireboats"
FishingBoat,"fishing boat, fishing boats"
FlatbedTruck,"flatbed truck, flatbed trucks"
Forklift,"forklift, forklifts"
FourByFour,"four-by-four, four-by-fours"
FourDoor,"four-door, four-doors"
FreightTrain,"freight train, freight trains"
Freighter,"freighter, freighters"
Frigate,"frigate, frigates"
FunicularRailway,"funicular railway, funicular railways"
Galleon,"galleon, galleons"
GarbageTruck,"garbage truck, garbage trucks"
Glider,"glider, gliders"
GoCart,"go-cart, go-carts"
GolfCart,"golf cart, golf carts"
Gondola,"gondola, gondolas"
GondolaLift,"gondola lift, gondola lifts"
Handcar,"handcar, handcars"
HangGlider,"hang glider, hang gliders"
HansomCab,"hansom cab, hansom cabs"
Hardtop,"hardtop, hardtops"
Harvester,"harvester, harvesters"
Hatchback,"hatchback, hatchbacks"
HayWagon,"hay wagon, hay wagons"
Hearse,"hearse, hearses"
Helicopter,"helicopter, helicopters"
HookAndLadderTruck,"hook and ladder truck, hook and ladder trucks"
HotAirBalloon,"hot-air balloon, hot-air balloons"
HotRod,"hot rod, hot rods"
Houseboat,"houseboat, houseboats"
Hovercraft,"hovercraft, hovercrafts"
Humvee,"humvee, humvees"
Hybrid,"hybrid, hybrids"
Hydrofoil,"hydrofoil, hydrofoils"
Hydroplane,"hydroplane, hydroplanes"
IceBoat,"ice boat, ice boats"
IceBreaker,"ice breaker, ice breakers"
Jalopy,"jalopies, jalopy"
Jeep,"jeep, jeeps"
Jet,"jet, jets"
JetBoat,"jet boat, jet boats"
JetPack,"jet pack, jet packs"
JetSki,"jet ski, jet skis"
Jetliner,"jetliner, jetliners"
JumboJet,"jumbo jet, jumbo jets"
JunkBoat,"junk boat, junk boats"
Kayak,"kayak, kayaks"
Ketch,"ketch, ketches"
LandingCraft,"landing craft, landing crafts"
LifeRaft,"life raft, life rafts"
Lifeboat,"lifeboat, lifeboats"
LightRail,"light rail, light rails"
