Value,Synonyms
Blizzard,"blizzard, blizzards"
Cirrus,cirrus
Cloud,"cloud, clouds"
Cloudy,cloudy
ColdWeather,cold weather
Cyclone,"cyclone, cyclones"
Drizzle,drizzle
DrySeason,"dry season, dry seasons"
DryWeather,dry weather
Flood,"flood, floods"
Fog,fog
FoggyWeather,foggy weather
Frost,"frost, frosts"
Hail,hail
Heat,heat
HotWeather,hot weather
Humidity,humidity
Hurricane,"hurricane, hurricanes"
IcyWeather,icy weather
Precipitation,precipitation
Rain,"rain, rains"
Rainstorm,"rainstorm, rainstorms"
RainySeason,"rainy season, rainy seasons"
RainyWeather,"rainy, rainy weather, raining"
Sleet,sleet
Snow,snow
Snowstorm,snowstorm
SnowyWeather,"snowy, snowy weather, snowing"
Storm,"storm, storms"
SunnyWeather,"sunny, sunny weather"
Thunder,thunder
Thunderstorm,"thunderstorm, thunderstorms"
Tornado,"tornado, tornados"
Tsunami,"tsunami, tsunamis"
Typhoon,"typhoon, typhoons"
WarmWeather,warm weather
Wind,"wind, winds"
WindyWeather,windy weather
